plotnumber,sourceyr,ecoregion,ecoregion_title,ecodistr,ecodistr_title,ecosite,ecosite_title,ecosite_soil_component,mean_tree_age_year,dominanttree,dominantshrub,dominantherb,dominantcryptogam,laivascular,laitotal,position,slope_position_title,aspect,aspect_cardinal,slope,slope_class_degrees_title,drainage,drainage_title,seepage,elevation_m,mr,soil_moisture_class_title,pm,parent_material_title,order_soil,soil_order_title,grgroup,soil_great_group_title,subgrp,soil_subgroup_title,cf_percent_120,particlesizeclassname_dom_0_30,depth_to_bedrock_cm,depth_to_water_table_cm,depth_to_root_restricting_cm,depth_of_organic_matter_cm,total_live_cover_percent,unknown_taxa_total_cover_percent,number_of_taxa_after_transform,calcareous_0_30,leaf_litter,needle_litter,rock,soil,water,woody_debris,broadleaf_tree,needleleaf_tree,broadleaf_overstory_tree,broadleaf_sapling,broadleaf_seedling,needleleaf_overstory_tree,needleleaf_sapling,needleleaf_seedling,shrub_cover,floating_aquatic_cover,forbs_and_graminoids,bryophytes_and_lichens,submerged_aquatic
1,1999 2000,PR,Prairie,N2,Cypress Hills,PR7,Trembling aspen - white spruce/western snowberry,Fresh silty clay,60.5,POPUTRE,RIBEOXY,GRAMSPP,BRACSTA,195.16,195.56,2,Upper Slope,84,E,2,0.5 – 2.0 degrees,3,Well,0,120,4,Fresh,5,Glacial-lacustrine,4,Luvisolic,7,"Gray						",ORT,Orthic,0,Fine-Clayey,NA,NA,NA,10,155.2,19.5,30,non-calcareous,15,23.75,0,0,0,20.25,69.69,28.36,60.94,20,3,10,20,0.5,23.3,0,13,2.5,0
3,1999 2000,PR,Prairie,N2,Cypress Hills,PR7,Trembling aspen - white spruce/western snowberry,Fresh silty clay,63.5,PICEGLA,ROSAACI,GRAMSPP,BRACSAL,181.975,183.575,2,Upper Slope,325,N,2,0.5 – 2.0 degrees,3,Well,0,122,4,Fresh,5,Glacial-lacustrine,4,Luvisolic,7,"Gray						",ORT,Orthic,0,Loamy,NA,NA,NA,10,136.91,33.75,44,non-calcareous,36.25,32.75,0,0,0,23.75,44.03,40.79,37.5,10,0.5,40.63,0.01,0.26,17.24,0,21.26,8.25,0
8,1999 2000,PR,Prairie,N2,Cypress Hills,PR7,Trembling aspen - white spruce/western snowberry,Fresh silty clay,37,PICEGLA,SYMPOCC,GRAMSPP,HYLOSPL,167.805,173.805,6,Depression,999,L,1,0 – 0.5 degrees,5,Imperfect,0,120,8,Very Moist,2,Glacial-fluvial,4,Luvisolic,7,"Gray						",GLE,Gleyed ,34,Loamy,NA,NA,NA,10,169.29,11.5,47,non-calcareous,28.75,11.5,0,0,0,15,44.6,70.9,37.5,10,1.5,62.5,20,3,12,0,11.52,10.75,0
9,1999 2000,PR,Prairie,N2,Cypress Hills,PR7,Trembling aspen - white spruce/western snowberry,Fresh silty clay,73,PICEGLA,PRUNVIR,LATHOCH,BRYOSPP,443.19,481.09,5,Toe Slope,323,N,4,5.0 – 9.0 degrees,3,Well,0,125,4,Fresh,2,Glacial-fluvial,4,Luvisolic,7,"Gray						",ORT,Orthic,0,Coarse-Silty,NA,NA,NA,6,174.54,11.5,29,non-calcareous,11.5,5,0,0,0,20.25,35,51.91,18.75,20,0.01,43.75,10,5,46.52,0,17.26,2,0
10,1999 2000,PR,Prairie,N2,Cypress Hills,PR7,Trembling aspen - white spruce/western snowberry,Fresh silty clay,78.25,POPUTRE,SYMPOCC,OSMODEP,BRACCAM,158.26,159.06,3,Mid Slope,23,N,3,2.0 – 5.0 degrees,3,Well,0,125,4,Fresh,2,Glacial-fluvial,4,Luvisolic,7,"Gray						",ORT,Orthic,0,Loamy,NA,NA,NA,7,158.49,0,29,non-calcareous,62.5,19,0,0,0,11.5,70,28.18,62.5,20,0,10,20,0.25,16.12,0,25.5,3,0
11,1999 2000,PR,Prairie,N2,Cypress Hills,PR4,Trembling aspen/bearberry/strawberry,Fresh clay loam,57,POPUBAL,SYMPOCC,MERTPAN,NA,231.59,231.59,2,Upper Slope,120,E,4,5.0 – 9.0 degrees,4,Moderately well,0,118,4,Fresh,4,Lacustrine,4,Luvisolic,7,"Gray						",DGR,NA,0,Loamy,NA,NA,NA,7,208.29,20.75,33,non-calcareous,62.5,0,0,0,0,1.5,75.71,10.45,60.94,37.81,0,10,0,0.5,29.24,0,53.77,0,0
12,1999 2000,PR,Prairie,N2,Cypress Hills,PR3,Trembling aspen - lodgepole pine/bearberry,Fresh clay loam,51.25,PINUCON,ARCTUVA,DANTINT,NA,115.8,115.8,7,Level,999,L,1,0 – 0.5 degrees,3,Well,0,138,4,Fresh,2,Glacial-fluvial,4,Luvisolic,7,"Gray						",ORT,Orthic,9,Loamy,NA,NA,NA,6,113.25,0,26,non-calcareous,0.25,28.75,0,0,0,0.5,10.45,15.74,10,0,0.5,10,5.91,0.5,38.1,0,44,0,0
14,1999 2000,PR,Prairie,N2,Cypress Hills,PR7,Trembling aspen - white spruce/western snowberry,Fresh silty clay,83.25,PICEGLA,SYMPOCC,HIERUMB,BRYOSPP,251.555,311.355,2,Upper Slope,240,W,7,> 30.0 degrees,3,Well,0,117,4,Fresh,2,Glacial-fluvial,4,Luvisolic,7,"Gray						",ORT,Orthic,0,Fine-Clayey,NA,NA,NA,4,130.64,18.75,45,non-calcareous,0.25,31.25,0,0,0,1.5,38.44,44.59,38.44,0,0,38.44,0,10,8.47,0,15.51,19.5,0
18,1999 2000,PR,Prairie,N2,Cypress Hills,PR6,White spruce/grass/other mosses,Fresh silty clay,71,PICEGLA,SYMPOCC,UNKNSP2,BRYOSPP,247.76,257.86,2,Upper Slope,279,W,4,5.0 – 9.0 degrees,3,Well,0,133,4,Fresh,2,Glacial-fluvial,4,Luvisolic,7,"Gray						",ORT,Orthic,37,Loamy,NA,NA,NA,5,114.89,32,23,non-calcareous,5,75,0,0,0,20,28.36,53.35,20,10,0.5,46.56,12.7,0,8.82,0,11.26,0.5,0
20,1999 2000,PR,Prairie,N2,Cypress Hills,PR3,Trembling aspen - lodgepole pine/bearberry,Fresh clay loam,77.25,PINUCON,SHEPCAN,GRAMSPP,PLEUSCH,172.66,174.26,2,Upper Slope,234,W,2,0.5 – 2.0 degrees,3,Well,0,130,4,Fresh,2,Glacial-fluvial,4,Luvisolic,7,"Gray						",ORT,Orthic,2,Fine-Clayey,NA,NA,NA,7,98.01,62.5,42,non-calcareous,3,6.5,0,0,0,6.5,12.68,21.43,10,1.5,1.5,10,12.7,0,31.01,0,19.76,7.5,0
