"","plant_community_code","province","plant_community_name_common","plant_community_name_scientific","ecosite","successional_state","reference_plant_community_code","provincial_cluster","grassland_subset_cluster","poss_groupcode","poss_groupname","poss_alliancecode","poss_alliancename","reviewer_notes","prairie_cluster","prelim_cluster_description","group_code_march_2025","alliance_code_march_2025"
"AP-DN-A","AP-DN-A","Saskatchewan","Sedge - Sand Grass - Needle-and-thread","Carex spp. - Calamovilfa longifolia - Hesperostipa comata","Dunes","moderate alteration from RC","not defined","5",NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"AP-DN-B","AP-DN-B","Saskatchewan","Sedge - Pasture Sage - June Grass ","Carex spp. - Artemisia frigida - Koeleria macrantha ","Dunes","significant alteration from RC","not defined","5",NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"AP-DN-C","AP-DN-C","Saskatchewan","Creeping Juniper","Juniperus horizontalis","Dunes","not defined","not defined","8",NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"AP-GR-B","AP-GR-B","Saskatchewan","Pasture Sage - Needle-and-thread - June Grass - Sedge","Artemisia frigida - Hesperostipa comata - Koeleria macrantha - Carex spp.","Gravelly","moderate alteration from RC","AP-GR-A",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"AP-LM-A","AP-LM-A","Saskatchewan","Plains Rough Fescue - Northern Wheat-grass - Western Porcupine-grass","Festuca altaica var. hallii - Elymus lanceolatus - Hesperostipa curtiseta","Loam","reference community","reference","1",NA,"G332","Northern Great Plains Rough Fescue Prairie","A4043","Festuca hallii Northwestern Plains Grassland Alliance","Festuca hallii might be a north slope more moist",12,"Festuca hallii-Hesperostipa curtiseta-Symphoricarpos occidentalis; Loamy","G332","A4043"
"AP-LM-B","AP-LM-B","Saskatchewan","Western Porcupine-grass - Northern Wheat-grass - Sedge - Pasture Sage","Hesperostipa curtiseta - Elymus lanceolatus - Carex spp. - Artemisia frigida","Loam","moderate alteration from RC","AP-LM-A","3",NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"AP-LM-C","AP-LM-C","Saskatchewan","Sedge - Pasture Sage - Western Porcupine-grass - Northern Wheat-grass ","Carex spp. - Artemisia frigida - Hesperostipa curtiseta - Elymus lanceolatus ","Loam","moderate alteration from RC","AP-LM-B","3",NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"AP-LM-D","AP-LM-D","Saskatchewan","Needle-and-thread - Wheat-grass - Pasture Sage","Hesperostipa comata - Elymus lanceolatus / Pascopyrum smithii - Artemisia frigida","Loam","significant alteration from RC","AP-LM-B","5",NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"AP-LM-E","AP-LM-E","Saskatchewan","Kentucky Blue-grass - Sedge","Poa pratensis - Carex spp.","Loam","severe alteration from RC","AP-LM-C,AP-LM-D","3",NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"AP-LM-G","AP-LM-G","Saskatchewan","Aspen / Snowberry - Rose","Populus tremuloides / Symphoricarpos occidentalis - Rosa spp.","Loam","significant alteration from RC","AP-LM-F",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"AP-LM-H","AP-LM-H","Saskatchewan","Aspen / Snowberry - Rose / Kentucky Blue-grass","Populus tremuloides / Symphoricarpos occidentalis - Rosa spp. / Poa pratensis","Loam","significant alteration from RC","AP-LM-G",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"AP-LM-I","AP-LM-I","Saskatchewan","Snowberry - Wolf-willow / Western Porcupine-grass - Sedge","Symphoricarpos occidentalis - Elaeagnus commutata / Hesperostipa curtiseta - Carex spp.","Loam","""grazing status""? (unclear; NOT reference)","AP-LM-A",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"AP-SD-A","AP-SD-A","Saskatchewan","Western Porcupine-grass","Hesperostipa curtiseta","Sand and Sandy","reference community","reference","1","1","G141","Northern Great Plains Mesic Mixedgrass Prairie","A4029","Hesperostipa curtiseta - Elymus lanceolatus Grassland Alliance","",8,"Hesperostipa curtiseta-Bouteloua gracilis; Sandy","G141","A4029"
"AP-SD-B","AP-SD-B","Saskatchewan","Western Porcupine-grass - Sedge ","Hesperostipa curtiseta - Carex spp.","Sand and Sandy","minor alteration from RC","AP-SD-A","2","2",NA,NA,NA,NA,"",8,"Hesperostipa curtiseta-Bouteloua gracilis; Sandy","G141","A4029"
"AP-SD-C","AP-SD-C","Saskatchewan","Sedge - Western Porcupine-grass - June Grass","Carex spp. - Hesperostipa curtiseta - Koeleria macrantha","Sand and Sandy","moderate alteration from RC","AP-SD-B","3",NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"AP-SD-D","AP-SD-D","Saskatchewan","Needle-and-thread - June Grass - Sedge - Blue Grama ","Hesperostipa comata - Koeleria macrantha - Carex spp. - Bouteloua gracilis","Sand and Sandy","moderate alteration from RC","AP-SD-B","5",NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"AP-SD-E","AP-SD-E","Saskatchewan","Pasture Sage - Sedge - Needle-and-thread - June Grass","Artemisia frigida - Carex spp. - Hesperostipa comata - Koeleria macrantha","Sand and Sandy","significant alteration from RC","AP-SD-C,AP-SD-D","3",NA,NA,NA,NA,NA,"poor fit in reference cluster 3; next most similar to reference cluster 6",NA,NA,NA,NA
"AP-SD-F","AP-SD-F","Saskatchewan","Crested Wheat-grass - Sedge","Agropyron cristatum - Carex spp.","Sand and Sandy","significant alteration from RC","AP-SD-D",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"AP-SD-H","AP-SD-H","Saskatchewan","Aspen / Choke-cherry / Snowberry - Rose","Populus tremuloides / Prunus virginiana / Symphoricarpos occidentalis - Rosa spp.","Sand and Sandy","moderate alteration from RC","AP-SD-G",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"AP-SD-I","AP-SD-I","Saskatchewan","Aspen / Sedge - Purple Oat-grass","Populus tremuloides / Carex spp. - Schizachne purpurascens","Sand and Sandy","moderate alteration from RC","AP-SD-H",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"AP-SD-J","AP-SD-J","Saskatchewan","Aspen / Snowberry - Rose / Kentucky Blue-grass - Purple Oat-grass","Populus tremuloides / Symphoricarpos occidentalis - Rosa spp. / Poa pratensis - Schizachne purpurascens","Sand and Sandy","significant alteration from RC","AP-SD-G, AP-SD-H",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"AP-SUB-B","AP-SUB-B","Saskatchewan","Balsam Poplar - Aspen / Snowberry - Rose","Populus balsamifera - Populus tremuloides / Symphoricarpos spp. - Rosa spp.","Subirrigated and Overflow","significant alteration from RC","AP-SUB-A","2",NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"AP-SUB-D","AP-SUB-D","Saskatchewan","Aspen - Balsam Poplar / Smooth Brome - Kentucky Blue-grass ","Populus tremuloides - Populus balsamifera / Bromus inermis - Poa pratensis","Subirrigated and Overflow","severe alteration from RC","AP-SUB-A","2",NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"AP-SUBSA-A","AP-SUBSA-A","Saskatchewan","Slender Wheat-grass - Salt Grass ","Elymus trachycaulus ssp. trachycaulus - Distichlis spicata var. stricta","Saline Subirrigated","reference community","reference","4",NA,"G324","Great Plains Saline Wet Meadow & Marsh","A1354","Pascopyrum smithii - Distichlis spicata - Hordeum jubatum Wet Meadow Alliance","",31,"Distichlis spicata-Pascopyrum smithii-Puccinellia_nuttalliana; Saline Lowland","G984","A1354"
"AP-SUBSA-B","AP-SUBSA-B","Saskatchewan","Blue-grass - Salt Grass - Forbs ","Poa spp. - Distichlis spicata var. stricta - Forbs","Saline Subirrigated","moderate alteration from RC","AP-SUBSA-A","4",NA,NA,NA,NA,NA,"the addition of this plot resulted in the 12 cluster solution replacing the 10 cluster solution as the 3rd best number of clusters using pam.select; best fit for reference clusters is 4",NA,NA,NA,NA
"AP-SUBSA-C","AP-SUBSA-C","Saskatchewan","Salt Grass - Slender Wheat-grass ","Distichlis spicata var. stricta - Elymus trachycaulus ssp. trachycaulus","Saline Subirrigated","reference community","reference","4",NA,"G324","Great Plains Saline Wet Meadow & Marsh","A1354","Pascopyrum smithii - Distichlis spicata - Hordeum jubatum Wet Meadow Alliance","",31,"Distichlis spicata-Pascopyrum smithii-Puccinellia_nuttalliana; Saline Lowland","G984","A1354"
"AP-SUBSA-D","AP-SUBSA-D","Saskatchewan","Salt Grass ","Distichlis spicata var. stricta","Saline Subirrigated","minor alteration from RC","AP-SUBSA-C","4",NA,NA,NA,NA,NA,"",31,"Distichlis spicata-Pascopyrum smithii-Puccinellia_nuttalliana; Saline Lowland","G984","A1354"
"AP-SUBSA-E","AP-SUBSA-E","Saskatchewan","Salt Grass - Forbs ","Distichlis spicata var. stricta - Forbs","Saline Subirrigated","moderate alteration from RC","AP-SUBSA-C","4",NA,NA,NA,NA,NA,"the addition of this plot resulted in the 12 cluster solution replacing the 10 cluster solution as the 3rd best number of clusters using pam.select; best fit for reference clusters is 4",NA,NA,NA,NA
