province,plant_community_code,plant_community_name_scientific,plant_community_name_common,successional_state,analysis_name,avg_cover_percent,avg_nlog_cover_percent,constancy_percent,prominence_value,nlog_prominence_value
Saskatchewan,AP-DN-A,Carex spp. - Calamovilfa longifolia - Hesperostipa comata,Sedge - Sand Grass - Needle-and-thread,moderate alteration from RC,Achillea_millefolium,0.06,0.06,27.78,0.03,0.1
Saskatchewan,AP-DN-A,Carex spp. - Calamovilfa longifolia - Hesperostipa comata,Sedge - Sand Grass - Needle-and-thread,moderate alteration from RC,Arctostaphylos_uva-ursi,7.02,1.95,27.78,3.7,1.31
Saskatchewan,AP-DN-A,Carex spp. - Calamovilfa longifolia - Hesperostipa comata,Sedge - Sand Grass - Needle-and-thread,moderate alteration from RC,Artemisia_frigida,4.58,1.52,50,3.24,1.17
Saskatchewan,AP-DN-A,Carex spp. - Calamovilfa longifolia - Hesperostipa comata,Sedge - Sand Grass - Needle-and-thread,moderate alteration from RC,Artemisia_ludoviciana,0.2,0.2,22.22,0.09,0.1
Saskatchewan,AP-DN-A,Carex spp. - Calamovilfa longifolia - Hesperostipa comata,Sedge - Sand Grass - Needle-and-thread,moderate alteration from RC,Bouteloua_gracilis,6.26,1.83,50,4.43,1.49
Saskatchewan,AP-DN-A,Carex spp. - Calamovilfa longifolia - Hesperostipa comata,Sedge - Sand Grass - Needle-and-thread,moderate alteration from RC,Campanula_rotundifolia,0.82,0.82,22.22,0.39,0.1
Saskatchewan,AP-DN-A,Carex spp. - Calamovilfa longifolia - Hesperostipa comata,Sedge - Sand Grass - Needle-and-thread,moderate alteration from RC,Carex,14.5,2.67,88.89,13.67,2.62
Saskatchewan,AP-DN-A,Carex spp. - Calamovilfa longifolia - Hesperostipa comata,Sedge - Sand Grass - Needle-and-thread,moderate alteration from RC,Cerastium_arvense,1.1,0.1,27.78,0.58,0.1
Saskatchewan,AP-DN-A,Carex spp. - Calamovilfa longifolia - Hesperostipa comata,Sedge - Sand Grass - Needle-and-thread,moderate alteration from RC,Comandra_umbellata,0.57,0.57,22.22,0.27,0.1
Saskatchewan,AP-DN-A,Carex spp. - Calamovilfa longifolia - Hesperostipa comata,Sedge - Sand Grass - Needle-and-thread,moderate alteration from RC,Elymus_lanceolatus,0.5,0.5,33.33,0.29,0.1
Saskatchewan,AP-DN-A,Carex spp. - Calamovilfa longifolia - Hesperostipa comata,Sedge - Sand Grass - Needle-and-thread,moderate alteration from RC,Elymus_trachycaulus,1.38,0.32,38.89,0.86,0.1
Saskatchewan,AP-DN-A,Carex spp. - Calamovilfa longifolia - Hesperostipa comata,Sedge - Sand Grass - Needle-and-thread,moderate alteration from RC,Festuca_hallii,9.5,2.25,44.44,6.33,1.85
Saskatchewan,AP-DN-A,Carex spp. - Calamovilfa longifolia - Hesperostipa comata,Sedge - Sand Grass - Needle-and-thread,moderate alteration from RC,Festuca_saximontana,3.54,1.26,33.33,2.04,0.71
Saskatchewan,AP-DN-A,Carex spp. - Calamovilfa longifolia - Hesperostipa comata,Sedge - Sand Grass - Needle-and-thread,moderate alteration from RC,Galium_boreale,1.06,0.06,27.78,0.56,0.1
Saskatchewan,AP-DN-A,Carex spp. - Calamovilfa longifolia - Hesperostipa comata,Sedge - Sand Grass - Needle-and-thread,moderate alteration from RC,Helictochloa_hookeri,0.7,0.7,27.78,0.37,0.1
Saskatchewan,AP-DN-A,Carex spp. - Calamovilfa longifolia - Hesperostipa comata,Sedge - Sand Grass - Needle-and-thread,moderate alteration from RC,Hesperostipa_comata,7.81,2.06,66.67,6.37,1.85
Saskatchewan,AP-DN-A,Carex spp. - Calamovilfa longifolia - Hesperostipa comata,Sedge - Sand Grass - Needle-and-thread,moderate alteration from RC,Hesperostipa_curtiseta,9.42,2.24,33.33,5.44,1.69
Saskatchewan,AP-DN-A,Carex spp. - Calamovilfa longifolia - Hesperostipa comata,Sedge - Sand Grass - Needle-and-thread,moderate alteration from RC,Heterotheca_villosa,1.46,0.38,55.56,1.09,0.09
Saskatchewan,AP-DN-A,Carex spp. - Calamovilfa longifolia - Hesperostipa comata,Sedge - Sand Grass - Needle-and-thread,moderate alteration from RC,Juniperus_horizontalis,9.3,2.23,38.89,5.8,1.76
Saskatchewan,AP-DN-A,Carex spp. - Calamovilfa longifolia - Hesperostipa comata,Sedge - Sand Grass - Needle-and-thread,moderate alteration from RC,Koeleria_macrantha,2.58,0.95,77.78,2.27,0.82
Saskatchewan,AP-DN-A,Carex spp. - Calamovilfa longifolia - Hesperostipa comata,Sedge - Sand Grass - Needle-and-thread,moderate alteration from RC,Maianthemum_stellatum,1.03,0.02,22.22,0.48,0.1
Saskatchewan,AP-DN-A,Carex spp. - Calamovilfa longifolia - Hesperostipa comata,Sedge - Sand Grass - Needle-and-thread,moderate alteration from RC,Pascopyrum_smithii,6.92,1.93,33.33,3.99,1.38
Saskatchewan,AP-DN-A,Carex spp. - Calamovilfa longifolia - Hesperostipa comata,Sedge - Sand Grass - Needle-and-thread,moderate alteration from RC,Prunus_virginiana,2.14,0.76,38.89,1.34,0.29
Saskatchewan,AP-DN-A,Carex spp. - Calamovilfa longifolia - Hesperostipa comata,Sedge - Sand Grass - Needle-and-thread,moderate alteration from RC,Solidago_missouriensis,0.34,0.34,44.44,0.22,0.1
Saskatchewan,AP-DN-A,Carex spp. - Calamovilfa longifolia - Hesperostipa comata,Sedge - Sand Grass - Needle-and-thread,moderate alteration from RC,Sporobolus_cryptandrus,3.37,1.21,50,2.38,0.87
Saskatchewan,AP-DN-A,Carex spp. - Calamovilfa longifolia - Hesperostipa comata,Sedge - Sand Grass - Needle-and-thread,moderate alteration from RC,Sporobolus_rigidus,6.4,1.86,94.44,6.22,1.83
Saskatchewan,AP-DN-A,Carex spp. - Calamovilfa longifolia - Hesperostipa comata,Sedge - Sand Grass - Needle-and-thread,moderate alteration from RC,Thermopsis_rhombifolia,2.1,0.74,27.78,1.11,0.1
Saskatchewan,AP-DN-B,Carex spp. - Artemisia frigida - Koeleria macrantha ,Sedge - Pasture Sage - June Grass ,significant alteration from RC,Achillea_millefolium,0.51,0.51,35.71,0.31,0.1
Saskatchewan,AP-DN-B,Carex spp. - Artemisia frigida - Koeleria macrantha ,Sedge - Pasture Sage - June Grass ,significant alteration from RC,Artemisia_frigida,9.05,2.2,82.14,8.2,2.1
Saskatchewan,AP-DN-B,Carex spp. - Artemisia frigida - Koeleria macrantha ,Sedge - Pasture Sage - June Grass ,significant alteration from RC,Artemisia_ludoviciana,1.24,0.22,50,0.88,0.1
Saskatchewan,AP-DN-B,Carex spp. - Artemisia frigida - Koeleria macrantha ,Sedge - Pasture Sage - June Grass ,significant alteration from RC,Bouteloua_gracilis,5.34,1.67,60.71,4.16,1.43
Saskatchewan,AP-DN-B,Carex spp. - Artemisia frigida - Koeleria macrantha ,Sedge - Pasture Sage - June Grass ,significant alteration from RC,Calamagrostis_montanensis,2.36,0.86,39.29,1.48,0.39
Saskatchewan,AP-DN-B,Carex spp. - Artemisia frigida - Koeleria macrantha ,Sedge - Pasture Sage - June Grass ,significant alteration from RC,Campanula_rotundifolia,0.96,0.96,35.71,0.58,0.1
Saskatchewan,AP-DN-B,Carex spp. - Artemisia frigida - Koeleria macrantha ,Sedge - Pasture Sage - June Grass ,significant alteration from RC,Carex,20.1,3,100,20.1,3
