"","cluster","neighbor","sil_width","fec_vegfor_log_hc_cut_ward_4"
"1890",1,2,0.35567163178323,1
"588",1,2,0.342446276358541,1
"2026",1,2,0.333291140604634,1
"2032",1,2,0.329717838216347,1
"1879",1,2,0.325892383908505,1
"558",1,2,0.323863242121938,1
"1205",1,2,0.323463957435153,1
"534",1,2,0.323407853365886,1
"2030",1,2,0.322662694222522,1
"1832",1,2,0.32139420267614,1
"733",1,2,0.320675683272126,1
"2031",1,2,0.318249354406023,1
"2041",1,2,0.317176770771242,1
"1881",1,2,0.313539569339237,1
"1977",1,2,0.313274469598412,1
"1322",1,2,0.312573398210995,1
"1209",1,2,0.312513406952914,1
"2023",1,2,0.311991051565885,1
"1041",1,2,0.311594673628172,1
"750",1,2,0.311374901443635,2
"549",1,2,0.310977143821675,2
"1990",1,2,0.309710712669992,2
"1892",1,2,0.309688167473672,2
"748",1,2,0.309309998650225,3
"1920",1,2,0.307765467420634,2
"671",1,2,0.307292522752011,1
"1851",1,2,0.306518163271795,2
"627",1,2,0.305791113387776,2
"532",1,2,0.305545831588024,2
"2028",1,2,0.305273228304775,2
"513",1,2,0.304120075227904,4
"1864",1,2,0.303793207611125,2
"2017",1,2,0.303545338109552,2
"2011",1,2,0.303427162771477,2
"1239",1,2,0.30323746888393,2
"2029",1,2,0.301986144687736,2
"1211",1,2,0.301493124977764,2
"2020",1,2,0.300328859252239,3
"591",1,2,0.299935582229472,2
"1178",1,2,0.299559835417867,2
"1928",1,2,0.298392616081519,2
"567",1,2,0.297172823145517,2
"556",1,2,0.295923914367747,2
"569",1,2,0.295817411749614,2
"1998",1,2,0.294768960045536,2
"2010",1,2,0.29346146709358,2
"1863",1,2,0.293428281211713,2
"2018",1,2,0.29325037403088,3
"1936",1,2,0.291774879199301,2
"874",1,2,0.291578866594867,2
"1222",1,2,0.291496463116504,2
"1995",1,2,0.29027250388702,2
"1929",1,2,0.289921936054668,4
"1979",1,2,0.28918851468445,2
"2037",1,2,0.287283325547384,2
"1135",1,2,0.286469809302541,2
"1917",1,2,0.286108865663829,2
"751",1,2,0.285873558246977,2
"793",1,2,0.285181430067062,4
"2005",1,2,0.284837146642022,2
"320",1,2,0.284555525746839,4
"1840",1,2,0.281550953759499,4
"1886",1,2,0.281141812937214,2
"2019",1,2,0.280877761085288,2
"1993",1,2,0.280698894447657,2
"285",1,2,0.280587008188866,4
"1991",1,2,0.280082667390487,3
"496",1,2,0.279272341070251,4
"1220",1,2,0.279120275866155,2
"1006",1,2,0.278644108836934,2
"411",1,2,0.277834919007846,3
"642",1,2,0.277574634853389,2
"1857",1,2,0.277200080334747,3
"1984",1,2,0.277022516602482,2
"799",1,2,0.276916439010644,2
"2025",1,2,0.276069606378263,2
"2038",1,2,0.27487722797198,4
"1050",1,2,0.272629286655709,2
"1801",1,2,0.27150328288836,2
"1982",1,2,0.271148454836797,2
"317",1,2,0.27108344124134,2
"1974",1,2,0.27068422899378,2
"520",1,2,0.269954545608361,2
"1978",1,2,0.269385494105178,2
"1138",1,2,0.268387048426824,2
"1985",1,2,0.267655380249577,2
"1996",1,2,0.266752887008445,2
"2015",1,2,0.264625411816242,2
"1215",1,2,0.26420475620193,2
"1085",1,2,0.263002985069049,2
"1878",1,2,0.262711560570387,2
"1846",1,2,0.260571953848331,2
"1596",1,2,0.260521130978622,3
"1031",1,2,0.259681730943417,2
"275",1,2,0.259524097304689,2
"1889",1,2,0.258978738670493,2
"533",1,2,0.258701347909437,2
"498",1,2,0.25844204988479,2
"581",1,2,0.256918805943988,2
"1213",1,2,0.256602685222461,2
"10",1,2,0.255612591330398,3
"1363",1,2,0.254660787803272,4
"677",1,2,0.253154123237505,2
"1839",1,2,0.25275308743352,2
"316",1,2,0.252379068732485,2
"1992",1,2,0.252117599640044,2
"680",1,2,0.251991849675492,2
"1352",1,2,0.251313609820096,2
"1261",1,2,0.250627442197802,2
"1741",1,2,0.250532495432135,2
"1084",1,2,0.250439904631059,2
"1180",1,2,0.24979090062763,2
"1916",1,2,0.249134914556517,2
"1262",1,2,0.248830837910321,3
"9",1,2,0.248709422959386,4
"1177",1,2,0.248219203248435,2
"1930",1,2,0.247900672347572,2
"798",1,2,0.247453778747227,2
"2007",1,2,0.247317749473408,2
"2039",1,2,0.247226635305834,3
"544",1,2,0.247075612731943,2
"1376",1,2,0.246870844087392,2
"1141",1,2,0.244440585359229,3
"1963",1,2,0.244440360195334,2
"1869",1,2,0.243840484846179,2
"682",1,2,0.243782934825198,2
"2000",1,2,0.243675958720634,2
"2034",1,2,0.243359019553882,2
"797",1,2,0.243203883364554,2
"576",1,2,0.24313866476719,2
"1450",1,2,0.242940222633524,2
"1877",1,2,0.242395874488649,4
"1999",1,2,0.241825753735573,3
"1208",1,2,0.241751360140877,4
"327",1,2,0.241580905428489,4
"1022",1,2,0.241343633425353,2
"545",1,2,0.239891336754296,2
"1876",1,2,0.239525162375306,4
"459",1,2,0.239414770343515,3
"1848",1,2,0.239355964833014,2
"688",1,2,0.239215211425977,2
"1154",1,2,0.238554450114849,3
"749",1,2,0.238250427524878,2
"1789",1,2,0.237569882875312,4
"1859",1,2,0.236760650059947,2
"8",1,2,0.236223351528031,2
"1932",1,2,0.236135460231815,4
"1073",1,2,0.235807075292404,2
"2002",1,2,0.235450594685888,4
"268",1,2,0.235337463745357,2
"636",1,2,0.234627349545638,2
"1",1,2,0.232612563271127,2
"1964",1,2,0.232150896014335,2
"1966",1,2,0.23203733416239,4
"1854",1,2,0.231959658097218,2
"21",1,2,0.231666099645256,4
"1351",1,2,0.231262806130911,4
"1203",1,2,0.231132689061825,3
"1078",1,2,0.230938626139113,4
"1072",1,2,0.230028506831437,4
"1189",1,2,0.229967170310285,2
"542",1,2,0.229571890705453,2
"1898",1,2,0.229253381759074,2
"1511",1,2,0.228751716632078,2
"1867",1,2,0.227920266089913,2
"1905",1,2,0.227694132250793,4
"1880",1,2,0.227515880846882,2
"702",1,2,0.227444060715554,2
