"","MDS1","MDS2","MDS3"
"Cladina",0.75831024831748,0.223902041190463,-0.11370227947455
"Vaccinium_vitis-idaea#seed_shrb",0.663340754054483,0.0090406342416796,-0.0219687774629906
"Cladonia",0.581304554602438,0.00317667457921,-0.247678429542699
"Picea_mariana#sapl_shrb",0.561638281417196,-0.4368803324753,0.0154084409341835
"Picea_mariana#seed_shrb",0.524699385004911,-0.317799072983623,-0.075500279192009
"Bryoria",0.486623944882806,0.02471197734198,-0.273548918114052
"Pinus_banksiana#sapl_shrb",0.48289606279659,0.452090541766332,0.124901473722125
"Parmeliopsis",0.457649168465801,0.0162408440615843,-0.249148117099137
"Tuckermannopsis",0.452802404337052,0.0380719724865392,-0.285073160491409
"Rhododendron_groenlandicum#seed_shrb",0.438583465287851,-0.39073384139558,0.0778133044847117
"Dicranum",0.432287895532487,-0.0866801114380502,0.0300691584198577
"Hypogymnia",0.419320935849421,-0.0347042268797974,-0.218945246207349
"Polytrichum",0.409891353691026,0.116868715956566,-0.114102234373259
"Vulpicida",0.401936995601955,-0.0627078152894296,-0.217681805683041
"Flavocetraria",0.39762991389471,0.103362871481395,-0.228941616560999
"Pleurozium",0.358749290143499,-0.311321562038827,0.351034845798171
"Vaccinium_myrtilloides#seed_shrb",0.357919417795619,0.3936919834762,0.373558945587286
"Stereocaulon",0.325059019763616,0.14313666138829,-0.263298277893069
"Evernia",0.320543933720816,-0.0993225049546156,-0.251988636816123
"Ptilidium",0.288643343164968,-0.10688993812665,-0.189877596391591
"Sphagnum",0.284429734101902,-0.448993158765171,-0.122336938956972
"Rubus_chamaemorus",0.27741603412109,-0.311674066329374,-0.13873991021033
"Imshaugia",0.275213447396023,0.0246290245729578,-0.137549507858302
"Vaccinium_oxycoccos#seed_shrb",0.271412492362403,-0.348851502180959,-0.0851561164975861
"Empetrum_nigrum#seed_shrb",0.269668357558116,-0.0127031416440811,-0.264190900267109
"Pinus_banksiana#ostr_tree",0.257063017427981,0.422906482121963,0.318204552552968
"Kalmia_polifolia#seed_shrb",0.256256982332696,-0.197596377420524,-0.0448878220081628
"Cetraria",0.245635068400273,0.133611393332467,-0.198505944433244
"Picea_mariana#ostr_tree",0.228613740757866,-0.356309368721378,0.231242698380667
"Pohlia",0.22569543737556,-0.147374894728219,-0.291598255693311
"Rhododendron_tomentosum#seed_shrb",0.222097139100503,-0.139018496971789,-0.166490351181561
"Arctoparmelia",0.220317752102386,0.0572270890635834,-0.226753161363781
"Chamaedaphne_calyculata#seed_shrb",0.214967356134855,-0.194896352005081,-0.0919395045240505
"Umbilicaria",0.186922443473297,0.0734885523885061,-0.198022094031824
"Mylia",0.186449863852148,-0.203416393515369,-0.089899897635483
"Usnea",0.182029075439216,-0.100165059905661,-0.119566678503597
"Pinus_banksiana#seed_shrb",0.178552096714648,0.286471157903198,-0.0462056130997295
"Lecanora",0.177995875637038,0.0849912271731553,-0.135420668231049
"Vaccinium_uliginosum#seed_shrb",0.169926827655068,-0.0666485302217695,-0.173416638105003
"Cephaloziella",0.155936933922956,-0.0311278629360989,-0.123225496681916
"Calypogeia",0.154896158320202,-0.190450826841751,-0.0881512279745709
"Icmadophila",0.152067541091767,-0.155224574056017,-0.0752630721965605
"Andromeda_polifolia#seed_shrb",0.120189434453611,-0.202537385079307,-0.0650942402574929
"Cynodontium",0.119662671703177,-0.0213613565173426,-0.211619277576037
"Cephalozia",0.11945144316273,-0.166563178610376,-0.120816314368007
"Geocaulon_lividum",0.117560196463276,-0.0658378508255702,-0.124964927887612
"Larix_laricina#seed_shrb",0.117463438695944,-0.244208946430118,-0.111293239572471
"Drosera_rotundifolia",0.110984768618127,-0.161964566506503,-0.0638678649913506
"Andreaea",0.107638808606457,-0.0175559224729162,-0.152542399804315
"Aulacomnium",0.104271075455937,-0.304924892530432,-0.100604364595362
"Larix_laricina#sapl_shrb",0.100272433665284,-0.285078192787109,-0.0480928587291998
"Rhizocarpon",0.1002241482857,0.0282153199589987,-0.0838741615541106
"Betula_glandulosa#seed_shrb",0.0956075981936223,-0.08273161774963,-0.0682650736213837
"Maianthemum_trifolium",0.0899566141241019,-0.371124567151528,-0.0360652401450469
"Lecidella",0.0853904029343684,0.120784038988899,0.0640536221507828
"Arctocetraria",0.0836350372047167,-0.015364042253035,-0.031125542343361
"Cypripedium_acaule",0.0778996160537139,0.115191422503172,-0.0606130698090429
"Amandinea",0.0747339070314295,-0.000673501858958891,-0.0913710652294427
"Hedwigia",0.0740528312564489,0.0319187071681542,-0.145244502171516
"Arctostaphylos_uva-ursi#seed_shrb",0.0678175253033215,0.520402581036736,-0.0731645638456026
"Cryptogramma_acrostichoides",0.0613317482464107,0.0886776836729291,-0.102540282518645
"Sibbaldia_tridentata",0.0603460341252043,0.142442493080555,0.0504519649229458
"Betula_pumila#seed_shrb",0.0589660124224329,-0.211588184669264,-0.0390120940819564
"Lepidozia",0.0574277654129485,-0.157691056609769,-0.0937112345133032
