"","MDS1","MDS2","MDS3"
"Cladina",0.868738771932224,-0.115092149693014,-0.219494331990087
"Vaccinium_myrtilloides",0.494751995967732,-0.0650414431758871,-0.282218811811605
"Cetraria",0.438462220950955,-0.0221812529577389,-0.0948075054618917
"Pinus_banksiana",0.337771900905215,0.508016051240533,-0.0552841665889447
"Arctoparmelia",0.324277312658681,-0.040870339066268,-0.120780752341684
"Cladonia",0.301953150291265,-0.0813469183492055,-0.0573297507177967
"Imshaugia",0.2803340037591,-0.026238000589304,-0.12179549898738
"Parmeliopsis",0.279154034775747,-0.112663834380589,-0.0428226822821378
"Tuckermannopsis",0.26479238236336,-0.0968715260206431,0.00590559180390167
"Dicranum",0.239639218578164,0.14271283042917,-0.0177214867968017
"Cypripedium_acaule",0.205286626106984,0.0183610050453152,-0.0237837951871615
"Tetraplodon",0.203629300150479,0.0816639593919717,0.00821198965897896
"Cryptogramma_acrostichoides",0.192130148908712,0.0812905105233202,-0.0201434868255167
"Cephaloziella",0.190089938139978,-0.0491884645449722,-0.17730964226864
"Flavocetraria",0.189951614365131,-0.0540459920277572,-0.0577378114622184
"Piptatheropsis_pungens",0.186392586721838,0.0823388320101574,-0.0158721561335412
"Polypodium_virginianum",0.183446335228754,0.102291178166885,-0.0222224740041995
"Arctostaphylos_uva-ursi",0.180951081379211,0.136485822290791,0.0943957402078702
"Stereocaulon",0.170089957355583,-0.0212026488725234,0.08922907282029
"Bryoria",0.16517794810034,-0.111548683734896,-0.0765291408041699
"Cynodontium",0.160680675227592,0.138542404465129,0.0125749378993497
"Vaccinium_vitis-idaea",0.154230742785678,0.0323130085559698,0.0487144196906748
"Ceratodon",0.145675308020507,0.156722569642598,0.0583356159875004
"Evernia",0.138682676962228,-0.109987672234524,-0.0312850292134886
"Agrostis_scabra",0.12584298997196,0.146551605643111,0.0982022105419218
"Ptilidium",0.1253057864919,0.0183787845693177,0.0371028989048756
"Polytrichum",0.124874534611538,-0.026471192606901,0.104664242568811
"Umbilicaria",0.112926751694851,0.0564108804426438,-0.0484555428879049
"Sibbaldia_tridentata",0.10545977955726,0.0188467950162242,0.0584970471939853
"Pyrola_chlorantha",0.103390755581419,0.215490031412922,0.167004619410091
"Vulpicida",0.101737396915398,-0.0229072345052538,0.0595552565283297
"Lycopodium_clavatum",0.0982299065457252,-0.00326933028851532,0.0699327793281971
"Phaeophyscia",0.0910504490280201,0.0817394527322658,0.0787334536041931
"Cephalozia",0.0894595523476217,-0.190468993534729,-0.0144852645827644
"Hypogymnia",0.0844744863021724,-0.0643099106934375,-0.00146529091884807
"Kalmia_polifolia",0.0611464531340814,-0.315840752875858,0.114324095803856
"Pyrola_asarifolia",0.0539210776541423,0.130743728645937,0.283812833325763
"Pohlia",0.0488916103649564,0.158710413290498,0.225382040387662
"Rubus_idaeus",0.0471600453398566,0.0985069159067636,0.0820398263242163
"Lecanora",0.0401872014694215,-0.015122554790317,0.116083823048718
"Icmadophila",0.0378246792453023,-0.388283965295904,0.191169976952142
"Populus_tremuloides",0.0313424626826589,0.239859719683194,0.412338546360314
"Tetraphis",0.0306853505150823,0.0861688522298948,-0.131153683408651
"Schizachne_purpurascens",0.0303779618905478,-0.0931565803029303,-0.0105184213369538
"Amandinea",0.0274199567075936,-0.0468130237090348,0.0988716690822505
"Geocaulon_lividum",0.0273299146266711,0.177792800706839,0.184255180181662
"Diphasiastrum_complanatum",0.0212009629983133,0.198849190126846,0.113873805393639
"Peltigera",0.0204065178312407,-0.0931448217130905,-0.0127012228561381
"Symphyotrichum_ciliolatum",0.0185053356515979,-0.133890749656802,0.143855081847154
"Hedwigia",0.0141898884410615,0.0547802801864128,0.225244032912819
"Gaultheria_hispidula",0.0132914647730781,-0.145896885297175,0.151277014532478
"Rubus_pubescens",0.0118269764265854,-0.0844121322970601,0.186896418023918
"Caloplaca",0.0114488980391934,-0.0907080129126411,0.242584096283176
"Mylia",0.00976854550435739,-0.48949316749676,0.0978458287215989
"Aralia_nudicaulis",0.00911195010576971,0.137138833199546,0.159969353724454
"Usnea",0.008848043767299,-0.0192585635435247,-0.0493438114632369
"Melampyrum_lineare",-0.00235430719952806,0.125536857112267,0.0964672066174218
"Mitella_nuda",-0.00341483210037556,-0.139721857412972,0.195116575089958
"Vaccinium_uliginosum",-0.00343193383875294,-0.135341590684339,-0.0126818177745375
"Oncophorus",-0.00418471416799368,0.0345168619392548,0.234405382160742
"Equisetum_scirpoides",-0.00425018855196881,0.142887023105195,0.156440459919573
"Orthotrichum",-0.0047491117595814,0.0762038569355652,0.226419605803658
"Chamaenerion_angustifolium",-0.00478699780924723,0.151653780883436,0.265297521527019
"Calypogeia",-0.0056212292530218,-0.333983598130605,0.014006950543799
"Rosa_acicularis",-0.00607210074849253,0.0040316483616,0.185150371053632
"Paraleucobryum",-0.00755461736015492,0.0785329561559199,0.128468067832294
"Arctocetraria",-0.0079762451467798,0.0809760450246936,0.207317750955586
"Drepanocladus",-0.00965626978813329,0.106822171181585,-0.00317969148369319
"Empetrum_nigrum",-0.0122476991898838,-0.0702752173609782,-0.0293340152691527
"Chamaedaphne_calyculata",-0.0175523912793137,-0.493552051774188,0.104126356573838
"Aulacomnium",-0.0177808918030491,-0.0119758487648001,0.19998068285012
"Andromeda_polifolia",-0.0226852982782692,-0.173630849750467,-0.0240134670195357
"Cyphelium",-0.0228934043039203,-0.0473495224601242,-0.00315031097572781
"Encalypta",-0.0235618968968741,0.180766533474972,0.126980208444197
"Orthilia_secunda",-0.0253043953695917,0.136298947428697,0.321575451809874
"Fragaria_virginiana",-0.0306222686900518,0.0610283694087705,0.00936487645505185
"Physcia",-0.0339387780232255,0.151289554134701,0.0213211936357394
"Nephroma",-0.034353459672391,-0.076261963208988,-0.0315185462458614
"Alnus_viridis",-0.0345412073127441,0.180829292458487,0.208296255650382
"Maianthemum_canadense",-0.0361906803017925,0.195300369124434,-0.0248528155705281
"Linnaea_borealis",-0.0371173028671221,0.132588362728319,0.046731014419228
"Betula_pumila",-0.0375463229755099,-0.174207380478064,0.0891790020997912
"Myrica_gale",-0.0380928246600958,-0.0946980631430284,0.0892601431606547
"Rhizocarpon",-0.0382072882659496,0.0846631331808673,0.0163864134164228
"Calliergon",-0.0392543797045422,-0.117717629014769,0.0944050867440555
"Calamagrostis_canadensis",-0.0393346841212814,-0.0428044240914563,0.191705781223879
"Lophozia",-0.0399244392693024,0.0159559615954177,0.0474607572557829
"Betula_glandulosa",-0.0401940525885312,-0.27754025409858,0.0542062482894568
"Juniperus_communis",-0.0418572616512607,0.0573791045912902,-0.125624813487198
"Lysimachia_borealis",-0.0423188642337254,0.239030406845118,0.11647941566019
"Cornus_canadensis",-0.0435564628515339,0.205768293767206,0.125933258536368
"Coptis_trifolia",-0.0447356481022165,0.0424649203983585,0.0830512333417412
"Tritomaria",-0.0477643047730595,0.0776745454921877,-0.0317053273567676
"Ochrolechia",-0.049416532915454,-0.107840316138823,0.188539121892621
"Rhododendron_tomentosum",-0.0549204576948902,-0.14760784781799,0.113663053111188
"Parmelia",-0.0571974204964229,0.0738253660617817,0.123799046470434
"Ramalina",-0.0573736128495591,0.100311050833407,-0.0972060005498753
"Goodyera_repens",-0.0594090539967535,0.219917537921532,0.131764276834261
"Vaccinium_oxycoccos",-0.0619084169321255,-0.43229938561268,0.163079820973348
"Equisetum_sylvaticum",-0.0643884763765924,-0.249974691421322,0.000150157466887666
"Equisetum_arvense",-0.0661337723062437,-0.26607701966686,0.141040396907529
"Salix_scouleriana",-0.0669972697507818,0.0452400265508354,0.0508782834915769
"Blepharostoma",-0.0688504165199517,-0.151610458047783,0.00827354976777276
"Lepidozia",-0.0699116527290719,-0.0363370624716788,0.149946548695248
"Populus_balsamifera",-0.0704724037050286,0.0627872112228955,-0.038766452943511
"Viola_renifolia",-0.0713214153566101,0.0595805216233088,0.326492742809125
"Comarum_palustre",-0.0758807637904342,-0.200625657267694,0.0701734298002236
"Alectoria",-0.0780967131561313,-0.100531524502399,-0.0803217215171815
"Drosera_rotundifolia",-0.0782555325734352,-0.289820052057305,0.116268281544155
"Ribes_triste",-0.0796695396421476,0.0442569662217418,0.24300111858205
"Mnium",-0.0869931092943312,0.048887724979668,0.00641563731103165
"Plagiomnium",-0.0872237934749135,-0.197227268304322,0.167607577677167
"Eurhynchium",-0.0879305873099242,0.0860867966018771,0.0276485712224611
"Viburnum_edule",-0.0879411452521996,0.115315918597028,0.356929129233169
"Alnus_incana",-0.0907046832997133,-0.0235233183894786,0.203995907526598
"Dendrolycopodium_dendroideum",-0.0910516201356611,0.0125792869130366,0.030294951666767
"Lecidella",-0.0971084027113864,0.0762174253556038,-0.0210731183707126
"Spinulum_annotinum",-0.0989636556388246,-0.0173084775100025,0.1685342690427
"Melanelia",-0.101218283194834,0.0806371774149782,0.0343383675382767
"Splachnum",-0.101801617580073,-0.103624091631679,0.0349088322483745
"Plagiothecium",-0.1022468315378,0.141049536406433,0.0474006091399611
"Betula_papyrifera",-0.102753897571329,0.278650851207771,0.183689517283546
"Leptobryum",-0.103379284344922,0.0922326227450297,0.011689948444905
"Coptidium_lapponicum",-0.103881047976104,-0.0289112422017935,0.0309961109678557
"Mertensia_paniculata",-0.104107910543094,-0.061302526467937,0.195992776540427
"Warnstorfia",-0.106785380014281,-0.143944937437092,0.119773038488862
"Pylaisiella",-0.111290933795284,0.189788650197941,0.129268403803747
"Petasites_frigidus",-0.115965417140986,-0.151969117085755,0.102776281908393
"Campylium",-0.123028977812742,0.0754529035334041,-0.0262797930007941
"Maianthemum_trifolium",-0.127485829028352,-0.138657346419169,0.285938507307744
"Larix_laricina",-0.132841379002231,-0.346492303559218,0.0555242602705378
"Brachythecium",-0.138100687445187,0.13145306493647,0.0622245820915373
"Rhododendron_groenlandicum",-0.147130709882521,-0.724974639957207,0.0106185374870515
"Picea_glauca",-0.155330402361104,0.163650782290487,0.118327376176759
"Abies_balsamea",-0.158053093475833,0.0529381063243794,0.111995582324232
"Rubus_chamaemorus",-0.158988270560777,-0.492238266688513,0.131916817573582
"Ptilium",-0.178231712619924,0.171825808320234,0.0393628472251676
"Sanionia",-0.181434991268289,0.156690949657198,0.23474003489067
"Sphagnum",-0.208277063477983,-0.699451260726882,0.293978946085059
"Hylocomium",-0.256678842787342,0.127405306668935,0.224678928700991
"Picea_mariana",-0.321295438104762,0.371138682031599,0.559227225516537
"Pleurozium",-0.602958915803186,0.229125821153836,-0.685937091040589
