"","cluster","neighbor","sil_width"
"1890",1,2,0.35567163178323
"588",1,2,0.342446276358541
"2026",1,2,0.333291140604634
"2032",1,2,0.329717838216347
"1879",1,2,0.325892383908505
"558",1,2,0.323863242121938
"1205",1,2,0.323463957435153
"534",1,2,0.323407853365886
"2030",1,2,0.322662694222522
"1832",1,2,0.32139420267614
"733",1,2,0.320675683272126
"2031",1,2,0.318249354406023
"2041",1,2,0.317176770771242
"1881",1,2,0.313539569339237
"1977",1,2,0.313274469598412
"1322",1,2,0.312573398210995
"1209",1,2,0.312513406952914
"2023",1,2,0.311991051565885
"1041",1,2,0.311594673628172
"750",1,2,0.311374901443635
"549",1,2,0.310977143821675
"1990",1,2,0.309710712669992
"1892",1,2,0.309688167473672
"748",1,2,0.309309998650225
"1920",1,2,0.307765467420634
"671",1,2,0.307292522752011
"1851",1,2,0.306518163271795
"627",1,2,0.305791113387776
"532",1,2,0.305545831588024
"2028",1,2,0.305273228304775
"513",1,2,0.304120075227904
"1864",1,2,0.303793207611125
"2017",1,2,0.303545338109552
"2011",1,2,0.303427162771477
"1239",1,2,0.30323746888393
"2029",1,2,0.301986144687736
"1211",1,2,0.301493124977764
"2020",1,2,0.300328859252239
"591",1,2,0.299935582229472
"1178",1,2,0.299559835417867
"1928",1,2,0.298392616081519
"567",1,2,0.297172823145517
"556",1,2,0.295923914367747
"569",1,2,0.295817411749614
"1998",1,2,0.294768960045536
"2010",1,2,0.29346146709358
"1863",1,2,0.293428281211713
"2018",1,2,0.29325037403088
"1936",1,2,0.291774879199301
"874",1,2,0.291578866594867
"1222",1,2,0.291496463116504
"1995",1,2,0.29027250388702
"1929",1,2,0.289921936054668
"1979",1,2,0.28918851468445
"2037",1,2,0.287283325547384
"1135",1,2,0.286469809302541
"1917",1,2,0.286108865663829
"751",1,2,0.285873558246977
"793",1,2,0.285181430067062
"2005",1,2,0.284837146642022
"320",1,2,0.284555525746839
"1840",1,2,0.281550953759499
"1886",1,2,0.281141812937214
"2019",1,2,0.280877761085288
"1993",1,2,0.280698894447657
"285",1,2,0.280587008188866
"1991",1,2,0.280082667390487
"496",1,2,0.279272341070251
"1220",1,2,0.279120275866155
"1006",1,2,0.278644108836934
"411",1,2,0.277834919007846
"642",1,2,0.277574634853389
"1857",1,2,0.277200080334747
"1984",1,2,0.277022516602482
"799",1,2,0.276916439010644
"2025",1,2,0.276069606378263
"2038",1,2,0.27487722797198
"1050",1,2,0.272629286655709
"1801",1,2,0.27150328288836
"1982",1,2,0.271148454836797
"317",1,2,0.27108344124134
"1974",1,2,0.27068422899378
"520",1,2,0.269954545608361
"1978",1,2,0.269385494105178
"1138",1,2,0.268387048426824
"1985",1,2,0.267655380249577
"1996",1,2,0.266752887008445
"2015",1,2,0.264625411816242
"1215",1,2,0.26420475620193
"1085",1,2,0.263002985069049
"1878",1,2,0.262711560570387
"1846",1,2,0.260571953848331
"1596",1,2,0.260521130978622
"1031",1,2,0.259681730943417
"275",1,2,0.259524097304689
"1889",1,2,0.258978738670493
"533",1,2,0.258701347909437
"498",1,2,0.25844204988479
"581",1,2,0.256918805943988
"1213",1,2,0.256602685222461
"10",1,2,0.255612591330398
"1363",1,2,0.254660787803272
"677",1,2,0.253154123237505
"1839",1,2,0.25275308743352
"316",1,2,0.252379068732485
"1992",1,2,0.252117599640044
"680",1,2,0.251991849675492
"1352",1,2,0.251313609820096
"1261",1,2,0.250627442197802
"1741",1,2,0.250532495432135
"1084",1,2,0.250439904631059
"1180",1,2,0.24979090062763
"1916",1,2,0.249134914556517
"1262",1,2,0.248830837910321
"9",1,2,0.248709422959386
"1177",1,2,0.248219203248435
"1930",1,2,0.247900672347572
"798",1,2,0.247453778747227
"2007",1,2,0.247317749473408
"2039",1,2,0.247226635305834
"544",1,2,0.247075612731943
"1376",1,2,0.246870844087392
"1141",1,2,0.244440585359229
"1963",1,2,0.244440360195334
"1869",1,2,0.243840484846179
"682",1,2,0.243782934825198
"2000",1,2,0.243675958720634
"2034",1,2,0.243359019553882
"797",1,2,0.243203883364554
"576",1,2,0.24313866476719
"1450",1,2,0.242940222633524
"1877",1,2,0.242395874488649
"1999",1,2,0.241825753735573
"1208",1,2,0.241751360140877
"327",1,2,0.241580905428489
"1022",1,2,0.241343633425353
"545",1,2,0.239891336754296
"1876",1,2,0.239525162375306
"459",1,2,0.239414770343515
"1848",1,2,0.239355964833014
"688",1,2,0.239215211425977
"1154",1,2,0.238554450114849
"749",1,2,0.238250427524878
"1789",1,2,0.237569882875312
"1859",1,2,0.236760650059947
"8",1,2,0.236223351528031
"1932",1,2,0.236135460231815
"1073",1,2,0.235807075292404
"2002",1,2,0.235450594685888
"268",1,2,0.235337463745357
"636",1,2,0.234627349545638
"1",1,2,0.232612563271127
"1964",1,2,0.232150896014335
"1966",1,2,0.23203733416239
"1854",1,2,0.231959658097218
"21",1,2,0.231666099645256
"1351",1,2,0.231262806130911
"1203",1,2,0.231132689061825
"1078",1,2,0.230938626139113
"1072",1,2,0.230028506831437
"1189",1,2,0.229967170310285
"542",1,2,0.229571890705453
"1898",1,2,0.229253381759074
"1511",1,2,0.228751716632078
"1867",1,2,0.227920266089913
"1905",1,2,0.227694132250793
"1880",1,2,0.227515880846882
"702",1,2,0.227444060715554
"304",1,2,0.227261979067458
"1140",1,2,0.226702546149707
"440",1,2,0.226511512892816
"1360",1,2,0.223935412718572
"3",1,2,0.223913057072663
"873",1,2,0.223777232106871
"420",1,2,0.223333064984696
"1772",1,2,0.223154445959412
"2016",1,2,0.223145275719212
"1771",1,2,0.222762491166609
"1139",1,2,0.222341969156009
"1038",1,2,0.221725379382498
"260",1,2,0.221396563177349
"1816",1,2,0.219430165593893
"18",1,2,0.218826276436434
"1981",1,2,0.217662221978505
"571",1,2,0.217581724368883
"456",1,2,0.217549160650422
"526",1,2,0.216539266700693
"1843",1,2,0.216533014057058
"1927",1,2,0.215608287141818
"1069",1,2,0.214106270284909
"1353",1,2,0.214062092200549
"1756",1,2,0.213456857124573
"580",1,2,0.2127978403682
"1775",1,2,0.212282986290286
"319",1,2,0.211626494055886
"1074",1,2,0.211051513866791
"288",1,2,0.209679064810715
"1027",1,2,0.208928429050105
"657",1,2,0.208664371085701
"458",1,2,0.205952654493196
"1940",1,2,0.20451352477523
"1737",1,2,0.204008147912008
"690",1,2,0.203723791395309
"1788",1,2,0.202868027627219
"1153",1,2,0.202369080749456
"2006",1,2,0.202197613264667
"1008",1,2,0.2020299577099
"470",1,2,0.20097804300922
"11",1,2,0.200635082499971
"1757",1,2,0.199881355777886
"14",1,2,0.199014510234356
"1029",1,2,0.198162231085082
"1035",1,2,0.197539274022147
"1743",1,2,0.197116556942177
"678",1,2,0.19587369465817
"1903",1,2,0.194214749647983
"838",1,2,0.193004332822212
"1206",1,2,0.192950097315902
"1083",1,2,0.19282076248808
"1887",1,2,0.192565379582319
"1234",1,2,0.191771950930369
"1197",1,2,0.190491917277809
"23",1,2,0.190096018304904
"1424",1,2,0.189757639393069
"1082",1,2,0.188160812051241
"1482",1,2,0.188065837777504
"24",1,2,0.188044187787008
"553",1,2,0.187787416341688
"1466",1,2,0.187730192446757
"519",1,2,0.186261183885237
"1438",1,2,0.18409545377647
"272",1,2,0.182976823401099
"1080",1,2,0.182830757731854
"2035",1,2,0.18090305629035
"1790",1,2,0.179522771953396
"282",1,2,0.179442597014839
"37",1,2,0.179176535485636
"58",1,2,0.178712504206451
"33",1,2,0.178626805273276
"1467",1,2,0.178317830841119
"1469",1,2,0.177917293256335
"1152",1,2,0.177177356831088
"1056",1,2,0.175455764575302
"435",1,2,0.174439764269729
"634",1,2,0.17440974495825
"1777",1,2,0.173904846109227
"381",1,2,0.172696843912407
"1358",1,2,0.172330819698121
"1935",1,2,0.171325562986981
"1428",1,2,0.170008059488513
"514",1,2,0.169575835423659
"1435",1,2,0.169251837917225
"1554",1,2,0.168382977418894
"1925",1,2,0.167877963935737
"942",1,2,0.167290757966203
"12",1,2,0.166959106180914
"1218",1,2,0.164267108203737
"311",1,2,0.164033680247577
"541",1,2,0.163851478385579
"1956",1,2,0.163512822461471
"416",1,2,0.162794440945098
"1133",1,2,0.161096835540179
"434",1,2,0.160895479949774
"1919",1,2,0.160862655226824
"1437",1,2,0.160373294611019
"1009",1,2,0.160222023281004
"1950",1,2,0.15881426472522
"1030",1,2,0.156823922039424
"1505",1,2,0.15570702234334
"421",1,2,0.154862079638675
"20",1,2,0.154602842687242
"1077",1,2,0.153689144785362
"1957",1,2,0.153615601483615
"1079",1,2,0.153522578231261
"699",1,2,0.153083568561171
"1541",1,2,0.152795617083333
"1783",1,2,0.150980101068663
"1768",1,2,0.150908506243416
"31",1,2,0.150704790830669
"695",1,2,0.14842399985295
"119",1,2,0.146123072614273
"1945",1,2,0.145774986713964
"419",1,2,0.141743617836004
