,V1,V7,V3,V4,V10,V5,V2,V6,V8,V9
1,0.63,0.51,0.32,0.31,0.32,0.33,0.24,0.26,0.30,0.40
7,0.51,0.61,0.50,0.43,0.48,0.40,0.24,0.26,0.31,0.49
3,0.32,0.50,0.73,0.56,0.67,0.47,0.30,0.30,0.34,0.48
4,0.31,0.43,0.56,0.63,0.60,0.42,0.37,0.45,0.50,0.53
10,0.32,0.48,0.67,0.60,0.72,0.55,0.43,0.31,0.43,0.49
5,0.33,0.40,0.47,0.42,0.55,0.59,0.44,0.27,0.40,0.44
2,0.24,0.24,0.30,0.37,0.43,0.44,0.52,0.23,0.39,0.31
6,0.26,0.26,0.30,0.45,0.31,0.27,0.23,0.69,0.54,0.47
8,0.30,0.31,0.34,0.50,0.43,0.40,0.39,0.54,0.57,0.49
9,0.40,0.49,0.48,0.53,0.49,0.44,0.31,0.47,0.49,0.59
