"group","alliance","ecoregion","ecosite","plant_community_code","plant_community_title","total_shrub_prominence","M1","M2","M3","M4","M5","M6","N","thresh80_cluster","maxalpha_cluster","pam_cluster","pam_neighbor","pam_silwidth","Clus_1"," Clus_2","Clus_3","Clus_4","Clus_5","Clus_6","Clustering"
"G332","A4043","Aspen Parkland","Loam","AP-LM-A","Festuca altaica var. hallii - Elymus lanceolatus - Hesperostipa curtiseta",0.41,0,0,0.001,0,0.999,0,0,"M5","M5",1,3,0.329324814817076,0.592675450972219,0.207636060610383,0.392664947165615,0.343719537019681,0.204365548639094,0.339739587161929,1
"G331","A4389","Aspen Parkland","Loam","CPA11","Stipa comata/Artemisia frigida-Selaginella densa",16.77,0.392,0.018,0.008,0.018,0.005,0.004,0.555,NA,"N",2,4,0.185572159609788,0.173750285851944,0.403492484698091,0.218047190048122,0.267574749144003,0.113823511653627,0.130280977170504,2
"G332","A4043","Aspen Parkland","Loam","CPA25","Festuca hallii",12.78,0,0,0,0,1,0,0,"M5","M5",1,3,0.404297383434731,0.653798816783466,0.181253136543917,0.418835550508947,0.276027769412331,0.163984530927523,0.31569065678416,1
"G332","A4043","Aspen Parkland","Loam","CPA3","Festuca hallii-Stipa curtiseta",7.48,0,0,0.003,0.004,0.992,0,0.001,"M5","M5",3,1,-0.0203358072598848,0.562843845700109,0.176503260485867,0.553769385939107,0.344539022881012,0.166366742477631,0.349003947790791,3
"G332","A4043","Aspen Parkland","Loam","CPA34","Bouteloua gracilis-Stipa curtiseta/Artemisia frigida",0.21,0.027,0.097,0.019,0.142,0.08,0.004,0.631,NA,"N",4,3,-0.0475970958732753,0.315847419370765,0.261846302083245,0.327360697996596,0.29374501160288,0.0953048755199675,0.0908622688972361,4
"G332","A4043","Aspen Parkland","Loam","CPA49","Stipa curtiseta-Festuca hallii",12.9,0,0.013,0,0.982,0.002,0,0.003,"M4","M4",3,4,0.193316457852739,0.39498249674471,0.263571780222633,0.544126247065793,0.434879070768265,0.169885439689503,0.212987986422674,3
"G332","A4043","Aspen Parkland","Loam","CPA6","Carex -Stipa curtiseta",2.93,0.004,0.039,0.024,0.704,0.033,0.002,0.194,NA,"M4",3,1,0.144040564971845,0.380477513615385,0.19117066254492,0.469713882566987,0.360025556861843,0.154376941398339,0.2253131039363,3
"G331","A4389","Aspen Parkland","Loam","CPC1","Elaeagnus commutata-Rosa acicularis/Koeleria macrantha-Calamovilfa longifolia",12.9,0.001,0.001,0,0.983,0,0,0.014,"M4","M4",3,4,0.317337769558372,0.270252004381468,0.23998903549171,0.52633224105368,0.306146234807959,0.1280529920218,0.180302312260902,3
"G332","A2405","Aspen Parkland","Loam","CPC21","Symphoricarpos occidentalis-Elaeagnus commutata/Stipa comata-Poa pratensis",23.03,0.001,0.001,0.002,0.971,0.001,0,0.024,"M4","M4",3,1,0.339174245012324,0.280504139143943,0.219086678230711,0.524538604539288,0.280044257505048,0.155392398878769,0.266427911799467,3
"G332","A2405","Aspen Parkland","Loam","CPC29","Symphoricarpos occidentalis/Festuca hallii",27.01,0,0,0.002,0,0.997,0,0.001,"M5","M5",1,3,0.279654683348489,0.564305604639468,0.0881558686098598,0.395158980992844,0.193668117454702,0.129389421842312,0.300458632717596,1
"G332","A2405","Aspen Parkland","Loam","CPC5","Symphoricarpos occidentalis-Elaeagnus commutata/Festuca hallii-Stipa curtiseta",21.37,0,0,0,0.997,0.002,0,0.001,"M4","M4",3,1,0.287261187379754,0.434555255571998,0.185988950476226,0.596985584254027,0.311495347146129,0.154623683937799,0.29583171465415,3
"G273","A3986","Cypress Uplands","Loam","CU-LM-A","Festuca altaica var. hallii ",56.08,0.006,0.01,0.082,0.023,0.109,0.004,0.766,NA,"N",1,3,0.140131447210787,0.375579494949532,0.101533139953594,0.273818651670662,0.153005005539482,0.170216886462255,0.245430346870396,1
"G331","A4389","Dry Mixed Grass","Loam","DMG-LM-A","Elymus lanceolatus - Hesperostipa comata",0,0.92,0.056,0,0.001,0,0,0.022,"M1","M1",2,4,0.155785677700063,0.190174662336651,0.5714081245512,0.24086118353432,0.492318639796154,0.174057777357629,0.0839214981246013,2
"G141","A4029","Dry Mixed Grass","Loam","DMG-LM-B","Elymus lanceolatus - Hesperostipa curtiseta",0,0,1,0,0,0,0,0,"M2","M2",4,2,0.136581362239234,0.251876604528597,0.517896635209567,0.328150844942387,0.583742969512762,0.171273048008348,0.0810630733414986,4
"G331","A4389","Dry Mixed Grass","Loam","DMG-LM-C","Hesperostipa comata - Elymus lanceolatus - Koeleria macrantha - Bouteloua gracilis",0,1,0,0,0,0,0,0,"M1","M1",2,4,0.258554917606443,0.146756674096611,0.603918541125044,0.223295904220687,0.465797982506927,0.146674477943775,0.0834709063124139,2
"G331","A4389","Dry Mixed Grass","Loam","DMGA2","Stipa comata - Agropyron spp",1.68,0.999,0,0,0,0,0,0.001,"M1","M1",2,4,0.347998328271503,0.197321132584247,0.625080377492913,0.246314757344766,0.424971378504059,0.149547611678395,0.0890728589510315,2
