"","x"
"AP-DN-A","G889"
"AP-DN-B","G889"
"AP-DN-C","G889"
"AP-GR-B","G141"
"AP-LM-B","G141"
"AP-LM-C","G141"
"AP-LM-D","G331"
"AP-LM-E","G679"
"AP-LM-G","G679"
"AP-LM-H","G679"
"AP-LM-I","G332"
"AP-SD-C","G141"
"AP-SD-D","G331"
"AP-SD-E","G331"
"AP-SD-F","G679"
"AP-SD-H","G984"
"AP-SD-I","G889"
"AP-SD-J","G679"
"AP-SUB-B","G679"
"AP-SUB-D","G984"
"AP-SUBSA-B","G984"
"AP-SUBSA-E","G984"
"AP-TH-A","G141"
"AP-TH-B","G889"
"CPA20","G984"
"CPA26","G332"
"CPA27","G679"
"CPA30","G679"
"CPA33","G889"
"CPA4","Gnew_GPSolonetzicGrassland"
"CPA41","G984"
"CPA42","G984"
"CPA43","G984"
"CPA44","G984"
"CPA45","G984"
"CPA46","G679"
"CPA48","G889"
"CPA5","G889"
"CPA50","G332"
"CPA51","G141"
"CPA52","G679"
"CPA7","G889"
"CPA8","G889"
"CPC14","G679"
"CPC22","G679"
"CPC23","G679"
"CPC30","G332"
"CPC32","G679"
"CPC6","G679"
"CPD15","G889"
"CPD16","G679"
"CPD17","G889"
"CPD18","G679"
"CPD21","G679"
"CPD7","G679"
"CU-LM-B","G679"
"CY2-APAD","G141"
"CY4-APAD","G679"
"CY6-APAD","G679"
"DMG-DN-C","G889"
"DMG-DN-D","G889"
"DMG-DN-E","G889"
"DMG-DN-F","G889"
"DMG-DN-G","G984"
"DMG-LM-D","G331"
"DMG-LM-E","G331"
"DMG-LM-F","G331"
"DMG-SD-H","G889"
"DMG-SO-C","G331"
"DMG-SO-D","G331"
"DMGA10","G331"
"DMGA19","G889"
"DMGA30","G566"
"DMGA31","G566"
"DMGA32","G889"
"DMGA33","G331"
"DMGA44","G984"
"DMGA45","G566"
"DMGA46","G331"
"DMGA47","G331"
"DMGA48","G331"
"DMGA53","G566"
"DMGA59","G331"
"DMGA60","Gnew_GPSolonetzicGrassland"
"DMGA62","G331"
"DMGA64","G889"
"DMGA66","G331"
"DMGA68","G331"
"DMGB7","G984"
"DMGC12","G331"
"DMGC16","G331"
"DN3a-APAD","G889"
"DN4-APAD","G889"
"DN5-APAD","G075"
"DN6-APAD","G679"
"DN7-APAD","G679"
"DN8-APAD","G075"
"ER5-APAD","G679"
"FFA10","G273"
"FFA13","G273"
"FFA14","G141"
"FFA15","G679"
"FFA18","G273"
"FFA19","G273"
"FFA25","G273"
"FFA26","G679"
"FFA28","G273"
"FFA3","G273"
"FFA4","G273"
"FFA6","G273"
"FFC1","G679"
"FFC3","G679"
"FFC4","G889"
"LM10-APAD","G679"
"LM11-APAD","G679"
"LM3-APAD","G141"
"LM4-APAD","G679"
"LM5-APAD","G679"
"LM6-APAD","G679"
"LM9-APAD","G332"
"MG-CY-C","Gnew_GPSolonetzicGrassland"
"MG-DN-C","G889"
"MG-DN-D","G889"
"MG-DN-E","G889"
"MG-GR-B","G331"
"MG-GR-C","G331"
"MG-LM-C","G331"
"MG-LM-D","G331"
"MG-LM-E","G331"
"MG-LM-F","G331"
"MG-LM-G","G679"
"MG-LM-H","G141"
"MG-SD-D","G331"
"MG-SD-F","G889"
"MG-SD-G","G889"
"MG-SO-C","Gnew_GPSolonetzicGrassland"
"MG-SUBSA-C","G984"
"MG-TH-B","G331"
"MG-TH-C","G331"
"MG-TH-D","G889"
"MG-UPSA-B","G566"
"MGA11","G273"
"MGA12","G679"
"MGA13","G984"
"MGA2","G141"
"MGA22","G331"
"MGA3","G331"
"MGA32","G331"
"MGA35","Gnew_GPSolonetzicGrassland"
"MGA37","G331"
"MGB2","G679"
"MGB4","G679"
"MGC1","Gnew_GPSolonetzicGrassland"
"MGC2","G889"
"MGC3","G889"
"MGC6","Gnew_GPSolonetzicGrassland"
"ML3-APAD","Gnew_GPSolonetzicGrassland"
"ML5-APAD","G679"
"ML6-APAD","G679"
"ML7-APAD","G679"
"ML8-APAD","G679"
"ML9-APAD","G679"
"MS4-APAD","G679"
"MS5-APAD","G679"
"MS6-APAD","G679"
"NFA02","G332"
"NFA03","G332"
"NFA08","G332"
"NFA09","G141"
"NFA11","G141"
"NFA17","Gnew_GPSolonetzicGrassland"
"NFA19","Gnew_GPSolonetzicGrassland"
"NFA20","Gnew_GPSolonetzicGrassland"
"NFA21","Gnew_GPSolonetzicGrassland"
"NFA22","Gnew_GPSolonetzicGrassland"
"NFA26","G141"
"NFA27","G141"
"NFA29","G332"
"NFA30","G141"
"NFA32","G889"
"NFA33","G889"
"NFA36","G984"
"NFA37","G984"
"NFA38","G984"
"NFC02","G332"
"NFC03","G332"
"NFC08","G679"
"NFC09","G332"
"NFC10","G679"
"NFC12","G679"
"NFD02","G679"
"NFD03","G332"
"PEZ-DN-B","G889"
"PEZ-SMHSA-B","G984"
"PEZ-SUB-C","G679"
"PEZ-SUB-O","G889"
"PEZ-SUB-P","G889"
"PEZ-SUB-U","G679"
"SD12-APAD","G889"
"SD13-APAD","G889"
"SD14-APAD","G679"
"SD15-APAD","G331"
"SD18-APAD","G889"
"SD19-APAD","G679"
"SD20-APAD","G679"
"SD4-APAD","G889"
"SD5-APAD","G141"
"SD6-APAD","G141"
"SD7-APAD","G679"
"WM5-APAD","G984"
