plant_community_code,analysis_name,prominence_value,constancy_percent
AP-LM-A,Achillea_millefolium,0.23,37.04
AP-LM-A,Agrostis_scabra,0.04,25.93
AP-LM-A,Artemisia_frigida,2.92,70.37
AP-LM-A,Artemisia_ludoviciana,0.37,37.04
AP-LM-A,Campanula_rotundifolia,0.05,25.93
AP-LM-A,Carex,7.32,100
AP-LM-A,Cerastium_arvense,0.09,33.33
AP-LM-A,Elymus_lanceolatus,10.54,74.07
AP-LM-A,Elymus_trachycaulus,1.72,44.44
AP-LM-A,Festuca_hallii,37.82,100
AP-LM-A,Festuca_saximontana,0.1,33.33
AP-LM-A,Fragaria_virginiana,0.17,29.63
AP-LM-A,Galium_boreale,0.04,22.22
AP-LM-A,Geum_triflorum,0.77,40.74
AP-LM-A,Helictochloa_hookeri,1.02,51.85
AP-LM-A,Hesperostipa_curtiseta,9.37,85.19
AP-LM-A,Koeleria_macrantha,2.18,77.78
AP-LM-A,Muhlenbergia_richardsonis,1.54,22.22
AP-LM-A,Oxytropis_campestris,0.05,29.63
AP-LM-A,Pascopyrum_smithii,0.99,37.04
AP-LM-A,Poa_pratensis,1.25,37.04
AP-LM-A,Pulsatilla_patens,0.89,37.04
AP-LM-A,Symphyotrichum_ericoides,0.24,29.63
AP-LM-A,Symphyotrichum_laeve,0.03,22.22
AP-LM-A,Taraxacum_officinale,0.02,22.22
AP-LM-A,Thermopsis_rhombifolia,0.25,25.93
AP-LM-A,Vicia_americana,0.11,40.74
AP-SD-A,Achillea_millefolium,0.26,21.43
AP-SD-A,Artemisia_frigida,3.58,92.86
AP-SD-A,Artemisia_ludoviciana,1.01,42.86
AP-SD-A,Bouteloua_gracilis,4.95,50
AP-SD-A,Carex,11.94,92.86
AP-SD-A,Chamaerhodos_erecta,0.35,21.43
AP-SD-A,Elymus_lanceolatus,5.94,71.43
AP-SD-A,Elymus_trachycaulus,1.97,21.43
AP-SD-A,Festuca_hallii,7.12,35.71
AP-SD-A,Helictochloa_hookeri,3.84,50
AP-SD-A,Hesperostipa_comata,14.28,35.71
AP-SD-A,Hesperostipa_curtiseta,39.49,92.86
AP-SD-A,Heterotheca_villosa,1.06,28.57
AP-SD-A,Koeleria_macrantha,5.09,57.14
AP-SD-A,Muhlenbergia_cuspidata,3.05,35.71
AP-SD-A,Pascopyrum_smithii,1.57,42.86
AP-SD-A,Poa_compressa,1.31,21.43
AP-SD-A,Pulsatilla_patens,2.64,35.71
AP-SD-A,Symphoricarpos_occidentalis,3.67,28.57
AP-SD-A,Thermopsis_rhombifolia,0.82,28.57
AP-SD-B,Achillea_millefolium,0.72,28
AP-SD-B,Artemisia_frigida,5.12,92
AP-SD-B,Artemisia_ludoviciana,1.18,36
AP-SD-B,Bouteloua_gracilis,6.63,76
AP-SD-B,Campanula_rotundifolia,0.86,36
AP-SD-B,Carex,14.26,100
AP-SD-B,Cerastium_arvense,2.06,40
AP-SD-B,Chamaerhodos_erecta,0.98,32
AP-SD-B,Comandra_umbellata,1.58,52
AP-SD-B,Dalea_purpurea,1.39,24
AP-SD-B,Drymocallis_arguta,1.03,28
AP-SD-B,Elymus_lanceolatus,3.44,36
AP-SD-B,Elymus_trachycaulus,2.29,36
AP-SD-B,Festuca_saximontana,4.36,40
AP-SD-B,Galium_boreale,1.73,40
AP-SD-B,Geum_triflorum,1.26,28
AP-SD-B,Helictochloa_hookeri,3.39,56
AP-SD-B,Hesperostipa_comata,5.26,44
AP-SD-B,Hesperostipa_curtiseta,21.34,96
AP-SD-B,Heterotheca_villosa,1.88,32
AP-SD-B,Koeleria_macrantha,6.09,84
AP-SD-B,Panicum_capillare,2.2,24
AP-SD-B,Pascopyrum_smithii,4.31,28
AP-SD-B,Poa_pratensis,4.6,44
AP-SD-B,Pulsatilla_patens,1.6,60
AP-SD-B,Sporobolus_rigidus,3.9,44
CPA11,Androsace_septentrionalis,0.55,100
CPA11,Antennaria_parvifolia,0.14,50
CPA11,Artemisia_frigida,3.6,100
CPA11,Bouteloua_gracilis,4.85,100
CPA11,Campanula_rotundifolia,0.71,50
CPA11,Carex_filifolia,18.75,100
CPA11,Carex_obtusata,0.57,50
CPA11,Cerastium_arvense,0.85,50
CPA11,Comandra_umbellata,0.35,50
CPA11,Distichlis_spicata,0.21,50
CPA11,Elymus_lanceolatus,3.39,50
CPA11,Equisetum_hyemale,0.14,50
CPA11,Festuca_hallii,0.9,100
CPA11,Festuca_saximontana,0.75,100
CPA11,Grindelia_squarrosa,0.2,100
CPA11,Hackelia_floribunda,0.78,50
CPA11,Hedysarum_boreale,0.28,50
CPA11,Hesperostipa_comata,14.35,100
CPA11,Heuchera_richardsonii,0.2,100
CPA11,Juncus_balticus,1,100
CPA11,Koeleria_macrantha,4.35,100
CPA11,Lepidium_densiflorum,0.25,100
CPA11,Opuntia_polyacantha,0.14,50
CPA11,Pascopyrum_smithii,0.14,50
CPA11,Penstemon_procerus,0.28,50
CPA11,Poa_pratensis,8.84,50
CPA11,Potentilla_anserina,0.25,100
CPA11,Rosa_arkansana,3.9,100
CPA11,Selaginella_densa,4.65,100
CPA11,Solidago_missouriensis,0.28,50
CPA11,Spiraea_alba,9.19,50
CPA11,Sporobolus_hookerianus,3.35,100
CPA11,Symphoricarpos_occidentalis,3.68,50
CPA2,Achillea_millefolium,4.29,83.3
CPA2,Agrostis_scabra,1.51,50
CPA2,Artemisia_ludoviciana,5.43,100
CPA2,Calamagrostis_stricta,3.35,33.3
CPA2,Campanula_rotundifolia,1.37,83.3
CPA2,Carex,11.4,100
CPA2,Cerastium_arvense,0.29,66.7
CPA2,Danthonia_intermedia,4.12,50
CPA2,Danthonia_spicata,1.18,33.3
CPA2,Elymus_trachycaulus,1.39,33.3
CPA2,Festuca_hallii,38.82,100
CPA2,Fragaria_virginiana,2.26,50
CPA2,Galium_boreale,2.78,100
CPA2,Hesperostipa_curtiseta,1.24,33.3
CPA2,Heuchera_richardsonii,0.16,50
CPA2,Juncus_balticus,1.72,83.3
CPA2,Muhlenbergia_richardsonis,0.46,33.3
CPA2,Pascopyrum_smithii,1.79,83.3
CPA2,Penstemon_procerus,2.37,33.3
CPA2,Potentilla_pensylvanica,0.52,33.3
CPA2,Rosa_woodsii,1.96,33.3
CPA2,Sisyrinchium_montanum,0.12,33.3
CPA2,Solidago_missouriensis,5.7,83.3
CPA2,Symphyotrichum_ericoides,4.95,83.3
CPA2,Symphyotrichum_laeve,3.46,33.3
CPA2,Taraxacum_officinale,0.99,50
CPA2,Thermopsis_rhombifolia,4.62,33.3
CPA2,Viola_adunca,0.12,33.3
CPA25,Achillea_millefolium,1.47,73.3
CPA25,Antennaria_parvifolia,1.39,35.6
CPA25,Artemisia_frigida,4.29,88.9
CPA25,Artemisia_ludoviciana,1.52,66.7
CPA25,Bouteloua_gracilis,4.29,55.6
CPA25,Campanula_rotundifolia,0.58,62.2
CPA25,Carex_filifolia,1,28.9
CPA25,Carex_obtusata,1.37,77.8
CPA25,Carex_pensylvanica,2.91,82.2
CPA25,Cerastium_arvense,1.42,77.8
CPA25,Elymus_lanceolatus,1.03,37.8
CPA25,Elymus_trachycaulus,3.39,100
CPA25,Erigeron_caespitosus,1.27,53.3
CPA25,Festuca_hallii,44.1,100
CPA25,Festuca_saximontana,0.49,48.9
CPA25,Galium_boreale,0.95,42.2
CPA25,Helictochloa_hookeri,1,64.4
CPA25,Hesperostipa_curtiseta,8.84,100
CPA25,Koeleria_macrantha,5.3,75.6
CPA25,Muhlenbergia_cuspidata,1.11,31.1
CPA25,Pascopyrum_smithii,1.51,37.8
CPA25,Poa_interior,0.51,28.9
CPA25,Poa_pratensis,4.21,68.9
CPA25,Pulsatilla_patens,0.98,40
CPA25,Rosa_arkansana,2.35,86.7
CPA25,Salix_bebbiana,0.57,22.2
CPA25,Salix_petiolaris,1.28,28.9
CPA25,Solidago_missouriensis,0.29,22.2
CPA25,Solidago_simplex,0.59,22.2
CPA25,Symphoricarpos_occidentalis,8.28,84.4
CPA25,Symphyotrichum_falcatum,2.71,88.9
CPA25,Symphyotrichum_laeve,2.24,57.8
CPA25,Thermopsis_rhombifolia,0.77,35.6
CPA25,Vicia_americana,0.43,42.2
CPA3,Achillea_millefolium,1.15,68.1
CPA3,Agrostis_scabra,0.28,25.5
CPA3,Antennaria_parvifolia,1.01,25.5
CPA3,Artemisia_campestris,0.63,23.4
CPA3,Artemisia_frigida,5.01,91.5
CPA3,Artemisia_ludoviciana,1.26,70.2
CPA3,Astragalus_agrestis,0.38,29.8
CPA3,Bouteloua_gracilis,0.95,36.2
CPA3,Campanula_rotundifolia,0.2,66
CPA3,Carex,11.28,95.7
CPA3,Cerastium_arvense,0.65,42.6
CPA3,Comandra_umbellata,0.7,51.1
CPA3,Elaeagnus_commutata,2.54,38.3
