plotnumber,physiog_agg,analysis_name,analysis_name_w_layer,cover_percent,nlog_cover_percent
1,Forbs and Graminoids,Achillea_millefolium,Achillea_millefolium,0.25,0.25
1,Seedling_Shrub,Amelanchier_alnifolia,Amelanchier_alnifolia#seed_shrb,0.5,0.5
1,Forbs and Graminoids,Anemonastrum_canadense,Anemonastrum_canadense,1.5,0.41
1,Forbs and Graminoids,Artemisia_ludoviciana,Artemisia_ludoviciana,0.5,0.5
1,Forbs and Graminoids,Astragalus_alpinus,Astragalus_alpinus,0.25,0.25
1,Mosses and Lichens,Brachythecium,Brachythecium,1,0.1
1,Forbs and Graminoids,Chamaenerion_angustifolium,Chamaenerion_angustifolium,0.25,0.25
1,Seedling_Shrub,Crataegus_douglasii,Crataegus_douglasii#seed_shrb,0.01,0.01
1,Forbs and Graminoids,Fragaria_virginiana,Fragaria_virginiana,1.5,0.41
1,Forbs and Graminoids,Galium_boreale,Galium_boreale,0.5,0.5
1,Forbs and Graminoids,Maianthemum_stellatum,Maianthemum_stellatum,0.5,0.5
1,Forbs and Graminoids,Mertensia_paniculata,Mertensia_paniculata,1.75,0.56
1,Forbs and Graminoids,Osmorhiza_depauperata,Osmorhiza_depauperata,1.75,0.56
1,Mosses and Lichens,Parmelia,Parmelia,0.5,0.5
1,Overstory_Tree,Picea_glauca,Picea_glauca#ostr_tree,10,2.3
1,Sapling_Shrub,Picea_glauca,Picea_glauca#sapl_shrb,20,3
1,Seedling_Shrub,Picea_glauca,Picea_glauca#seed_shrb,0.5,0.5
1,Overstory_Tree,Populus_tremuloides,Populus_tremuloides#ostr_tree,60.94,4.11
1,Sapling_Shrub,Populus_tremuloides,Populus_tremuloides#sapl_shrb,20,3
1,Seedling_Shrub,Populus_tremuloides,Populus_tremuloides#seed_shrb,3,1.1
1,Seedling_Shrub,Prunus_virginiana,Prunus_virginiana#seed_shrb,0.25,0.25
1,Seedling_Shrub,Ribes_oxyacanthoides,Ribes_oxyacanthoides#seed_shrb,10,2.3
1,Seedling_Shrub,Rosa_acicularis,Rosa_acicularis#seed_shrb,1.5,0.41
1,Seedling_Shrub,Rubus_idaeus,Rubus_idaeus#seed_shrb,1.5,0.41
1,Forbs and Graminoids,Sanicula_marilandica,Sanicula_marilandica,1.5,0.41
1,Seedling_Shrub,Symphoricarpos_occidentalis,Symphoricarpos_occidentalis#seed_shrb,11.5,2.44
1,Forbs and Graminoids,Taraxacum_officinale,Taraxacum_officinale,0.5,0.5
1,Forbs and Graminoids,Trifolium_hybridum,Trifolium_hybridum,0.5,0.5
1,Mosses and Lichens,Usnea,Usnea,1,0.1
1,Forbs and Graminoids,Viola_canadensis,Viola_canadensis,1.75,0.56
3,Forbs and Graminoids,Achillea_millefolium,Achillea_millefolium,0.25,0.25
3,Forbs and Graminoids,Actaea_rubra,Actaea_rubra,0.5,0.5
3,Seedling_Shrub,Amelanchier_alnifolia,Amelanchier_alnifolia#seed_shrb,1.5,0.41
3,Forbs and Graminoids,Anemonastrum_canadense,Anemonastrum_canadense,6.5,1.87
3,Seedling_Shrub,Arctostaphylos_uva-ursi,Arctostaphylos_uva-ursi#seed_shrb,1.5,0.41
3,Forbs and Graminoids,Astragalus_alpinus,Astragalus_alpinus,0.25,0.25
3,Mosses and Lichens,Brachythecium,Brachythecium,0.5,0.5
3,Mosses and Lichens,Caloplaca,Caloplaca,0.5,0.5
3,Mosses and Lichens,Ceratodon,Ceratodon,0.5,0.5
3,Seedling_Shrub,Crataegus_douglasii,Crataegus_douglasii#seed_shrb,1.5,0.41
3,Mosses and Lichens,Flavoparmelia,Flavoparmelia,0.5,0.5
3,Forbs and Graminoids,Fragaria_virginiana,Fragaria_virginiana,1.5,0.41
3,Forbs and Graminoids,Galium_boreale,Galium_boreale,1.5,0.41
3,Forbs and Graminoids,Heracleum_maximum,Heracleum_maximum,0.5,0.5
3,Forbs and Graminoids,Lathyrus_ochroleucus,Lathyrus_ochroleucus,0.26,0.26
3,Forbs and Graminoids,Maianthemum_stellatum,Maianthemum_stellatum,0.5,0.5
3,Mosses and Lichens,Melanelia,Melanelia,0.5,0.5
3,Forbs and Graminoids,Mentha_arvensis,Mentha_arvensis,1.5,0.41
3,Forbs and Graminoids,Mertensia_paniculata,Mertensia_paniculata,1.75,0.56
3,Mosses and Lichens,Mnium,Mnium,0.5,0.5
3,Forbs and Graminoids,Orthilia_secunda,Orthilia_secunda,0.25,0.25
