"","plant_community_code","plant_community_name_common","plant_community_name_scientific","agg_ecosite_title","group_code_march_2025","alliance_code_march_2025","successional_state","avg_cmi_rcp","avg_gdd_05_1991_2020","avg_elevation_m","shrub_prominence_value","cacti_prominence_value"
"AP-LM-A","AP-LM-A","Plains Rough Fescue - Northern Wheat-grass - Western Porcupine-grass","Festuca altaica var. hallii - Elymus lanceolatus - Hesperostipa curtiseta","Loam","G332","A4043","reference community",-10.1,1516,588,0.41,0
"AP-SD-A","AP-SD-A","Western Porcupine-grass","Hesperostipa curtiseta","Sand and Sandy","G141","A4029","reference community",-11,1533,541,3.67,0
"AP-SD-B","AP-SD-B","Western Porcupine-grass - Sedge ","Hesperostipa curtiseta - Carex spp.","Sand and Sandy","G141","A4029","minor alteration from RC",-6.5,978,342,7.33,0
"CPA11","CPA11","Needle and Thread/Fringed sage-Little club moss","Stipa comata/Artemisia frigida-Selaginella densa","Loam","G331","A4389","Reference plant community",-16.1,1545,670,16.77,0.14
"CPA2","CPA2","Plains rough fescue- Western wheat grass","Festuca hallii-Agropyron smithii","Solonetzic","Gnew_GPSolonetzicGrassland","Anew_FESTHALSolonetzic","Reference plant community",-8.2,1449,680,7.19,0
"CPA25","CPA25","Plains rough fescue","Festuca hallii","Loam","G332","A4043","Reference plant community",-12.3,1445,856,12.78,0
"CPA3","CPA3","Plains rough fescue- Western porcupine grass","Festuca hallii-Stipa curtiseta","Loam","G332","A4043","Reference plant community",-12.7,1511,676,7.48,0
"CPA34","CPA34","Blue grama-Western Porcupine grass/Pasture sagewort","Bouteloua gracilis-Stipa curtiseta/Artemisia frigida","Loam","G332","A4043","Reference plant community",-18.6,1550,706,0.21,0
"CPA47","CPA47","Plains rough fescue - Sand grass","Festuca hallii - Calamovilfa longifolia","Sand and Sandy","G889","A1201","Reference plant community",-12.8,1516,677,13.75,0
"CPA49","CPA49","Western porcupine grass Plains rough fescue","Stipa curtiseta-Festuca hallii","Loam","G332","A4043","Reference plant community",-12.5,1514,669,12.9,0
"CPA6","CPA6","Upland sedge-Western porcupine grass","Carex -Stipa curtiseta","Loam","G332","A4043","Reference plant community",-14,1522,670,2.93,0
"CPA9","CPA9","Sand dropseed - Sand grass","Sporobolus cryptandrus-Calamovilfa longifolia","Sand and Sandy","G889","A1201","Reference plant community",-12.3,1505,680,1,0
"CPC1","CPC1","Silverberry/ Prickly rose/June grass- Sand grass","Elaeagnus commutata-Rosa acicularis/Koeleria macrantha-Calamovilfa longifolia","Loam","G331","A4389","Reference plant community",-12.7,1512,672,12.9,0
"CPC16","CPC16","Juniper/Plains rough fescue","Juniperus horizontalis/Festuca hallii","Sand and Sandy","G889","A2407","Reference plant community",-13.9,1525,652,29.18,0
"CPC17","CPC17","Juniper/Sand grass - Sedge","Juniperus horizontalis/Calamovilfa longifolia-Carex spp.","Sand and Sandy","G889","A2407","Reference plant community",-13.9,1520,675,27.49,0.07
"CPC18","CPC18","Juniper - Bearberry/Sand grass","Juniperus horizontalis/Arctostaphylos uva-ursi/Calamovilfa longifolia","Sand and Sandy","G889","A2407","Reference plant community",-13,1509,684,25.64,0
"CPC21","CPC21","Snowberry- Silverberry/Needle and Thread- Kentucky bluegrass","Symphoricarpos occidentalis-Elaeagnus commutata/Stipa comata-Poa pratensis","Loam","G332","A2405","Reference plant community",-12.9,1510,672,23.03,0
"CPC29","CPC29","Snowberry/Plains rough fescue","Symphoricarpos occidentalis/Festuca hallii","Loam","G332","A2405","Reference plant community",-12.2,1445,856,27.01,0
"CPC5","CPC5","Snowberry-Silverberry/ Plains rough fescue-Western porcupine grass","Symphoricarpos occidentalis-Elaeagnus commutata/Festuca hallii-Stipa curtiseta","Loam","G332","A2405","Reference plant community",-12.6,1510,677,21.37,0
"CU-LM-A","CU-LM-A","Rough Fescue","Festuca altaica var. hallii ","Loam","G273","A3986","reference community",-5.3,1438,1237,56.08,0
"CY3-APAD","CY3-APAD","Western Snowberry – Needle and Threadgrass – Kentucky Bluegrass ","Symphoricarpos occidentalis – Hesperostipa comata – Poa pratensis","Clay","G141","A2309","Alt",NA,NA,NA,29.25,0
"CY5-APAD","CY5-APAD","Plains Rough Fescue – Kentucky Bluegrass – Richardson’s Needlegrass - Sedge","Festuca hallii – Poa pratensis – Achnatherum richardsonii – Carex","Clay","G332","A2304","Alt",NA,NA,NA,7.74,0
"DMG-DN-A","DMG-DN-A","Needle-and-thread","Hesperostipa comata ","Dunes","G889","A1201","reference community",-27.5,1766,730,4.88,1.73
"DMG-DN-B","DMG-DN-B","Silver Sagebrush - Needle-and-thread","Artemisia cana - Hesperostipa comata ","Dunes","G889","A1201","reference community",-26.1,1757,714,7.17,3.4
