"plotnumber","sourceyr","ecoregion","ecoregion_title","ecodistr","ecodistr_title","ecosite","ecosite_title","ecosite_soil_component","mean_tree_age_year","dominanttree","dominantshrub","dominantherb","dominantcryptogam","laivascular","laitotal","position","slope_position_title","aspect","aspect_cardinal","slope","slope_class_degrees_title","drainage","drainage_title","seepage","elevation_m","mr","soil_moisture_class_title","pm","parent_material_title","order_soil","soil_order_title","grgroup","soil_great_group_title","subgrp","soil_subgroup_title","cf_percent_120","particlesizeclassname_dom_0_30","depth_to_bedrock_cm","depth_to_water_table_cm","depth_to_root_restricting_cm","depth_of_organic_matter_cm","total_live_cover_percent","unknown_taxa_total_cover_percent","number_of_taxa_after_transform","calcareous_0_30"
1,"1999 2000","PR","Prairie","N2","Cypress Hills","PR7","Trembling aspen - white spruce/western snowberry","Fresh silty clay","60.5000000000000000","POPUTRE","RIBEOXY","GRAMSPP","BRACSTA","195.1600000000000000","195.5600000000000000",2,"Upper Slope",84,"E",2,"0.5 – 2.0 degrees",3,"Well",0,120,"4.0000000000000000","Fresh","5.0000000000000000","Glacial-lacustrine","4.0000000000000000","Luvisolic","7","Gray						","ORT","Orthic",0,"Fine-Clayey",,,,10,"155.2000000000000000","19.5000000000000000",30,"non-calcareous"
2,"1999 2000","PR","Prairie","N2","Cypress Hills","PR1","Plains rough fescue - timber oatgrass grassland","Fresh silty clay loam",,,"POTEFRU","FESTHAL","BRYOSPP","96.2000000000000000","99.3000000000000000",2,"Upper Slope",22,"N",2,"0.5 – 2.0 degrees",3,"Well",0,140,"4.0000000000000000","Fresh","2.0000000000000000","Glacial-fluvial","3.0000000000000000","Chernozemic","13","Black","ORT","Orthic",9,"Loamy",,,,8,"101.7500000000000000","0.0000000000000000",19,"non-calcareous"
3,"1999 2000","PR","Prairie","N2","Cypress Hills","PR7","Trembling aspen - white spruce/western snowberry","Fresh silty clay","63.5000000000000000","PICEGLA","ROSAACI","GRAMSPP","BRACSAL","181.9750000000000000","183.5750000000000000",2,"Upper Slope",325,"N",2,"0.5 – 2.0 degrees",3,"Well",0,122,"4.0000000000000000","Fresh","5.0000000000000000","Glacial-lacustrine","4.0000000000000000","Luvisolic","7","Gray						","ORT","Orthic",0,"Loamy",,,,10,"136.9100000000000000","33.7500000000000000",44,"non-calcareous"
4,"1999 2000","PR","Prairie","N2","Cypress Hills","PR1","Plains rough fescue - timber oatgrass grassland","Fresh silty clay loam",,,"ROSAWOO","GRAMSPP",,"105.8950000000000000","105.8950000000000000",2,"Upper Slope",202,"S",2,"0.5 – 2.0 degrees",3,"Well",0,134,"4.0000000000000000","Fresh","2.0000000000000000","Glacial-fluvial","4.0000000000000000","Luvisolic","7","Gray						","ORT","Orthic",73,"Loamy",,,,2,"15.5800000000000000","87.5050000000000000",20,"non-calcareous"
8,"1999 2000","PR","Prairie","N2","Cypress Hills","PR7","Trembling aspen - white spruce/western snowberry","Fresh silty clay","37.0000000000000000","PICEGLA","SYMPOCC","GRAMSPP","HYLOSPL","167.8050000000000000","173.8050000000000000",6,"Depression",999,"L",1,"0 – 0.5 degrees",5,"Imperfect",0,120,"8.0000000000000000","Very Moist","2.0000000000000000","Glacial-fluvial","4.0000000000000000","Luvisolic","7","Gray						","GLE","Gleyed ",34,"Loamy",,,,10,"169.2900000000000000","11.5000000000000000",47,"non-calcareous"
9,"1999 2000","PR","Prairie","N2","Cypress Hills","PR7","Trembling aspen - white spruce/western snowberry","Fresh silty clay","73.0000000000000000","PICEGLA","PRUNVIR","LATHOCH","BRYOSPP","443.1900000000000000","481.0900000000000000",5,"Toe Slope",323,"N",4,"5.0 – 9.0 degrees",3,"Well",0,125,"4.0000000000000000","Fresh","2.0000000000000000","Glacial-fluvial","4.0000000000000000","Luvisolic","7","Gray						","ORT","Orthic",0,"Coarse-Silty",,,,6,"174.5400000000000000","11.5000000000000000",29,"non-calcareous"
10,"1999 2000","PR","Prairie","N2","Cypress Hills","PR7","Trembling aspen - white spruce/western snowberry","Fresh silty clay","78.2500000000000000","POPUTRE","SYMPOCC","OSMODEP","BRACCAM","158.2600000000000000","159.0600000000000000",3,"Mid Slope",23,"N",3,"2.0 – 5.0 degrees",3,"Well",0,125,"4.0000000000000000","Fresh","2.0000000000000000","Glacial-fluvial","4.0000000000000000","Luvisolic","7","Gray						","ORT","Orthic",0,"Loamy",,,,7,"158.4900000000000000","0.0000000000000000",29,"non-calcareous"
11,"1999 2000","PR","Prairie","N2","Cypress Hills","PR4","Trembling aspen/bearberry/strawberry","Fresh clay loam","57.0000000000000000","POPUBAL","SYMPOCC","MERTPAN",,"231.5900000000000000","231.5900000000000000",2,"Upper Slope",120,"E",4,"5.0 – 9.0 degrees",4,"Moderately well",0,118,"4.0000000000000000","Fresh","4.0000000000000000","Lacustrine","4.0000000000000000","Luvisolic","7","Gray						","DGR",,0,"Loamy",,,,7,"208.2900000000000000","20.7500000000000000",33,"non-calcareous"
12,"1999 2000","PR","Prairie","N2","Cypress Hills","PR3","Trembling aspen - lodgepole pine/bearberry","Fresh clay loam","51.2500000000000000","PINUCON","ARCTUVA","DANTINT",,"115.8000000000000000","115.8000000000000000",7,"Level",999,"L",1,"0 – 0.5 degrees",3,"Well",0,138,"4.0000000000000000","Fresh","2.0000000000000000","Glacial-fluvial","4.0000000000000000","Luvisolic","7","Gray						","ORT","Orthic",9,"Loamy",,,,6,"113.2500000000000000","0.0000000000000000",26,"non-calcareous"
13,"1999 2000","PR","Prairie","N2","Cypress Hills","PR1","Plains rough fescue - timber oatgrass grassland","Fresh silty clay loam",,,"ROSAACI","TRIFHYB",,"144.9800000000000000","144.9800000000000000",4,"Lower Slope",260,"W",2,"0.5 – 2.0 degrees",3,"Well",0,116,"4.0000000000000000","Fresh","5.0000000000000000","Glacial-lacustrine","4.0000000000000000","Luvisolic","7","Gray						","ORT","Orthic",0,"Loamy",,,,3,"113.5300000000000000","1.5000000000000000",22,"non-calcareous"
