plotnumber,analysis_name,cover_percent
1,Achillea_millefolium,0.25
1,Amelanchier_alnifolia,0.5
1,Anemonastrum_canadense,1.5
1,Artemisia_ludoviciana,0.5
1,Astragalus_alpinus,0.25
1,Chamaenerion_angustifolium,0.25
1,Crataegus_douglasii,0.01
1,Fragaria_virginiana,1.5
1,Galium_boreale,0.5
1,Maianthemum_stellatum,0.5
1,Mertensia_paniculata,1.75
1,Osmorhiza_depauperata,1.75
1,Picea_glauca,30.5
1,Populus_tremuloides,83.94
1,Prunus_virginiana,0.25
1,Ribes_oxyacanthoides,10
1,Rosa_acicularis,1.5
1,Rubus_idaeus,1.5
1,Sanicula_marilandica,1.5
1,Symphoricarpos_occidentalis,11.5
1,Taraxacum_officinale,0.5
1,Trifolium_hybridum,0.5
1,Viola_canadensis,1.75
2,Achillea_millefolium,1.75
2,Agoseris_glauca,0.5
2,Allium_cernuum,0.25
2,Campanula_rotundifolia,0.5
2,Dasiphora_fruticosa,0.25
2,Erigeron_glabellus,0.5
2,Eurhynchium_pulchellum,0.5
2,Festuca_altaica,87.5
2,Galium_boreale,1.75
2,Gentianella_amarella,0.5
2,Hedysarum_alpinum,1.5
2,Oxytropis_splendens,0.25
2,Pulsatilla_patens,0.5
2,Thermopsis_rhombifolia,3
3,Achillea_millefolium,0.25
3,Actaea_rubra,0.5
3,Amelanchier_alnifolia,1.5
3,Anemonastrum_canadense,6.5
3,Arctostaphylos_uva-ursi,1.5
3,Astragalus_alpinus,0.25
3,Crataegus_douglasii,1.5
3,Fragaria_virginiana,1.5
3,Galium_boreale,1.5
3,Heracleum_maximum,0.5
3,Lathyrus_ochroleucus,0.26
3,Maianthemum_stellatum,0.5
3,Mentha_arvensis,1.5
3,Mertensia_paniculata,1.75
3,Orthilia_secunda,0.25
3,Osmorhiza_depauperata,1.5
3,Picea_glauca,40.9
3,Populus_tremuloides,48
3,Prosartes_trachycarpa,0.5
3,Prunus_virginiana,2.25
3,Rosa_acicularis,6.5
3,Sanicula_marilandica,0.25
3,Symphoricarpos_occidentalis,5.25
3,Taraxacum_officinale,1.75
3,Thalictrum_venulosum,0.25
3,Viola_canadensis,1.5
3,Zizia_aptera,0.25
4,Achillea_millefolium,1.51
4,Anemone_multifida,1.5
4,Antennaria_anaphaloides,0.5
4,Arabis_pycnocarpa,0.01
4,Artemisia_campestris,1.5
4,Artemisia_frigida,0.25
4,Astragalus_agrestis,1.5
4,Campanula_rotundifolia,0.5
4,Elymus_trachycaulus,0.25
4,Erigeron_glabellus,0.01
4,Gaillardia_aristata,0.01
4,Galium_boreale,5.25
4,Heterotheca_villosa,0.01
4,Potentilla_concinna,0.01
4,Potentilla_gracilis,0.5
4,Rosa_woodsii,1.5
4,Silene_drummondii,0.01
4,Solidago_missouriensis,0.5
4,Thermopsis_rhombifolia,0.01
4,Toxicoscordion_venenosum,0.25
8,Amelanchier_alnifolia,0.25
8,Anemonastrum_canadense,1.75
8,Chamaenerion_angustifolium,0.01
8,Equisetum_pratense,0.01
8,Fragaria_virginiana,1.5
8,Galium_boreale,0.25
8,Hedysarum_alpinum,0.01
8,Juniperus_communis,0.5
8,Lathyrus_ochroleucus,1.75
8,Lysimachia_ciliata,0.5
8,Maianthemum_stellatum,0.5
8,Mertensia_paniculata,1.5
8,Orthilia_secunda,0.5
8,Osmorhiza_depauperata,0.25
8,Packera_indecora,0.25
8,Picea_glauca,85.5
8,Populus_tremuloides,49
8,Prosartes_trachycarpa,1.51
8,Prunus_virginiana,1.5
8,Pyrola_asarifolia,0.25
8,Ribes_oxyacanthoides,0.25
8,Rosa_acicularis,3
8,Symphoricarpos_occidentalis,6.5
8,Taraxacum_officinale,0.25
8,Thalictrum_venulosum,0.5
8,Viburnum_edule,0.5
8,Viola_canadensis,0.25
9,Amelanchier_alnifolia,5
9,Apocynum_androsaemifolium,0.25
9,Fragaria_virginiana,1.75
9,Galium_boreale,1.5
9,Heuchera_richardsonii,0.01
9,Lathyrus_ochroleucus,0.25
9,Maianthemum_stellatum,1.75
9,Picea_glauca,58.75
9,Populus_tremuloides,38.76
9,Prosartes_trachycarpa,5
9,Prunus_pensylvanica,10
9,Prunus_virginiana,18.75
9,Rosa_acicularis,5.25
9,Rubus_pubescens,0.5
9,Shepherdia_canadensis,0.01
9,Solidago_canadensis,0.5
9,Symphoricarpos_occidentalis,18.75
9,Taraxacum_officinale,0.01
9,Thalictrum_venulosum,5
9,Vicia_americana,0.25
9,Viola_canadensis,0.5
10,Amelanchier_alnifolia,2.98
10,Clematis_occidentalis,0.5
10,Cornus_sericea,1.51
10,Elymus_glaucus,0.25
10,Fragaria_virginiana,0.25
10,Galium_boreale,0.5
10,Gentianella_amarella,0.25
10,Lathyrus_ochroleucus,1.5
10,Maianthemum_stellatum,3
10,Mertensia_paniculata,1.5
10,Osmorhiza_depauperata,6.5
10,Picea_glauca,30.25
10,Populus_tremuloides,82.5
10,Prosartes_trachycarpa,3
10,Prunus_virginiana,1.5
10,Ribes_oxyacanthoides,0.25
10,Rosa_acicularis,3
10,Rubus_idaeus,1.5
10,Symphoricarpos_occidentalis,6.5
10,Thalictrum_venulosum,1.75
10,Viola_canadensis,6.5
11,Achillea_millefolium,0.25
11,Amelanchier_alnifolia,0.5
11,Anemonastrum_canadense,0.5
11,Anemone_multifida,0.5
11,Artemisia_ludoviciana,0.5
11,Campanula_rotundifolia,0.5
11,Chamaenerion_angustifolium,0.01
11,Cirsium_flodmanii,0.5
11,Crataegus_douglasii,0.01
11,Dasiphora_fruticosa,0.25
11,Equisetum_pratense,0.01
11,Fragaria_virginiana,10
11,Galium_boreale,3
11,Lathyrus_ochroleucus,1
11,Maianthemum_stellatum,1.5
11,Mentha_arvensis,6.5
11,Mertensia_paniculata,10
11,Osmorhiza_depauperata,5.25
11,Packera_indecora,0.25
11,Picea_glauca,10.5
11,Populus_balsamifera,38
11,Populus_tremuloides,75
11,Prosartes_trachycarpa,0.01
11,Rosa_acicularis,6.5
11,Sanicula_marilandica,0.5
11,Symphoricarpos_occidentalis,23.75
11,Taraxacum_officinale,0.5
11,Thalictrum_venulosum,3
11,Vicia_americana,3
11,Viola_canadensis,6.5
12,Achillea_millefolium,0.5
12,Antennaria_microphylla,1.5
12,Antennaria_neglecta,3
12,Arctostaphylos_uva-ursi,28.75
12,Campanula_rotundifolia,0.5
12,Danthonia_intermedia,20
12,Dasiphora_fruticosa,1.75
12,Fragaria_virginiana,6.5
12,Galium_boreale,0.5
12,Lathyrus_ochroleucus,1.75
12,Lupinus_argenteus,1.5
12,Mitella_nuda,0.25
12,Osmorhiza_depauperata,0.25
12,Picea_glauca,3.5
12,Pinus_contorta,13
12,Populus_tremuloides,10.5
12,Pulsatilla_patens,0.25
12,Rosa_acicularis,1.75
12,Schizachne_purpurascens,5
12,Symphoricarpos_occidentalis,10
12,Taraxacum_officinale,1.75
12,Vicia_americana,0.5
12,Viola_canadensis,0.25
13,Achillea_millefolium,6.5
13,Antennaria_microphylla,0.25
13,Artemisia_campestris,0.25
